id,name,account_id,owner_id,stage_name,amount,probability,close_date,lead_source,lead_source_id,created_date
006cJsEAWuwqSTjnl1,Stratus Expansion 19,001QUiZHgvAsU2gMkP,005NgdXDnoq7n6eqfB,Closed Won,62858,100,2023-09-16,Partner Referral,00Qz5gQgdWb48RFcWQ,2023-05-13
0067v0b76OpSYzXV0Q,Clearwater Expansion 20,001SVWsSBup8RJHBAH,005F4DJKwnDrFRcqbf,Proposal,47169,50,2026-03-13,Event,00QLh6mWmoS0APRc5F,2025-10-24
006eH3JLM99GdS8Cyw,Ironwood Expansion 21,001l1rozMI89gF8jFY,005iSUGFUqSTcmtbKs,Qualification,167049,25,2024-10-14,Event,00Qe1HrhtLidOLPT2l,2024-09-03
006sNlmhaogGldcVZD,Acme Expansion 22,001wRi8dBluvjeJvYQ,005TqlXejhWbvjVWsd,Closed Won,43011,100,2022-06-23,Event,00QMQpy8yUDzPwvPbx,2022-01-19
006s4nGdmBkXfk1Ipa,Harbor Expansion 23,001L1YleCOyZdWpghE,005TK374RFpXQFXq5p,Closed Won,76317,100,2022-11-17,Partner Referral,00QYw1jSchnXGWj9NE,2022-08-29
006g8UyHo4tjPcN13r,Oakridge Expansion 24,001Dlt3ChNqoefcUU1,0051xrdseoLzIEtx8d,Negotiation,100362,70,2025-03-02,Event,00Q7Uu8SIt4BezAbRK,2024-10-11
006YcHLmGFepQMtOJ5,Redwood Expansion 25,001blUCDVQ0zALVI4B,005zQVR4ms4RjAh8MF,Proposal,93977,50,2024-05-10,Event,00Q6y1mzSk7ODu31LK,2024-04-10
006hfgmazpzhDFK1W7,BlueSky Expansion 26,001mtTXYKtp0u8huHj,005f9kyPUYR0yZXH7k,Proposal,185866,50,2023-08-03,Partner Referral,00QZfeMJgj0hh6CAOH,2023-04-27
006Oiz7DkincBGmzd8,Nimbus Expansion 27,001bxW9M1LmvM7nVPB,005Rc5gJ1bF86O0c4W,Proposal,81368,50,2023-06-21,Partner Referral,00QR4Cy7Pm4NdtCpiX,2023-01-09
006ggSguNcFy3g0CSt,Lighthouse Expansion 28,001BsxcvrR0MRgcWr5,0051xrdseoLzIEtx8d,Proposal,82889,50,2022-09-21,Outbound,00Qpf320JeTYvSumRN,2022-04-06
006FohXTYfA43tqvmZ,Pinnacle Expansion 29,00100ZowrNrESxAljL,005lECbWsEiD75E7eC,Prospecting,43393,10,2025-10-21,Web,00QWoc4VymKdOX3qpy,2025-09-08
006MiJFkoURwCNVLlc,Clearwater Expansion 30,001VYFjMJ08buJ1FNi,005o6FGxPqqWKpnCkp,Prospecting,150305,10,2025-05-14,Outbound,00QhD14HndQosd9xWK,2024-11-30
006rWN9TeUAo8EOJmL,Evergreen Expansion 31,001sV21KCLE8SfAfqa,005Ho68SXnOO9IeJdv,Prospecting,118944,10,2025-05-08,Outbound,00Q0XecIdxiXpbthPj,2024-12-11
006JhBvLP0Xzdr6s9S,Ironwood Expansion 32,001e0iDAGONgFXmEy1,005Ho68SXnOO9IeJdv,Closed Lost,220998,0,2023-10-20,Trade Show,00QcDKSM7MvBBsgwn3,2023-06-03
006zMX1kYaNzCJVg1g,Cobalt Expansion 33,001YnHSLuKplJdGAYz,005y5u3soBmeQ9pyxl,Closed Won,83609,100,2026-03-30,Web,00QaWNHOjISYGG85bA,2025-10-12
006JP7sYXN5MRoU743,Vertex Expansion 34,001eNoAluyAzb3OuWg,005IeU7PAQYPcwR9VT,Qualification,38201,25,2022-09-07,Outbound,00Qn4SZSKSq5kTcQdp,2022-07-01
006jxSUoqSYa9egmrp,Vertex Expansion 35,001ks7mExxQBZ7hriQ,005r8kcdxSxYgha9K0,Prospecting,159311,10,2023-01-28,Outbound,00QDqf3aCmjIHIomAG,2022-12-12
006sMkHPdjTiKoltXx,Clearwater Expansion 36,001qfZl7PrLIJziAcR,005AjaFO16Hd8Hp1Jf,Prospecting,171906,10,2024-12-01,Web,00QdSn966ImKgb42XH,2024-08-11
006VCBIr2JfhVB7a81,Redwood Expansion 37,001IKjMc1K0E7MALrf,0059wya6DR3pIs3IPJ,Qualification,121019,25,2025-02-09,Trade Show,00QgBXIbc6qSjHVV4X,2024-12-05
006u2GCrGgvha2bAlE,BlueSky Expansion 38,001VOJpKzF9f1qhQ2F,0058Bwr0RkCwwLehpc,Negotiation,216081,70,2022-09-17,Web,00Qm9TIDhiADn0VrWk,2022-05-04
006dJwcsovP6NUgO2d,Redwood Expansion 39,00114n8YgOE6eRiKfY,005sbu92PDPF7bHdnm,Qualification,226695,25,2026-03-26,Trade Show,00QmOfuNGIZIlHW6DD,2025-10-29
0061lmdjSqP00EBXnA,Vertex Expansion 40,001opVc40KqMibqHau,005CyM4CU7TgZ0ieQC,Proposal,247257,50,2022-12-12,Inbound,00QrHT2bLckLOdiEJy,2022-09-22
006q7MXN9J5OwnxC9s,Lighthouse Expansion 41,001irpTchuRgMzAOQh,005xIxpup9aX5Yc366,Negotiation,30045,70,2022-07-21,Event,00QvfyvXkblvCeZVWp,2022-07-01
006bB5gbekMz3Qquji,BlueSky Expansion 42,001mhSfxEbmBaEjFt5,005c3NF5GIwHluYW9b,Qualification,75848,25,2024-12-07,Web,00Qs8IYOW6z7lkM2kz,2024-11-09
006BaS9mtccmlugs7Y,Stratus Expansion 43,001Fe8DP9SPmDOcu4g,005IeU7PAQYPcwR9VT,Proposal,97383,50,2024-05-02,Inbound,00QFZkBwBrj7P0owM0,2024-03-28
006byiK4TrZl0PCh7A,Pinnacle Expansion 44,0010HUgLvjTO0ZVb9g,005VLfsfX7zhRzFubF,Proposal,59241,50,2022-11-23,Event,00QMXUTUaiz5dqRsV1,2022-08-08
006Hla6eV3eEDjVny1,Cobalt Expansion 45,001zUtBOJs2S9Zceg6,005RMzHVKudpQtLAvV,Closed Won,24129,100,2023-06-20,Inbound,00Qtw3EwYbhkReWoLn,2023-03-04
0067K0m2ca06Wzb3Va,Nimbus Expansion 46,0014ThbWKSesnDwRXX,005AQpXsPDqHdTKZrg,Closed Lost,50345,0,2026-02-16,Event,00QGrqjVEOSwRq2Jcd,2025-09-13
006UiHgDK2MVVfb9Oi,Oakridge Expansion 47,001eQeUjq2IPC7XuEX,005o6FGxPqqWKpnCkp,Closed Won,124975,100,2024-04-29,Partner Referral,00QR7ias3UathQEXaN,2023-12-26
006QocLvmLDgSiqIYT,Cobalt Expansion 48,001wYk1pyRJuKEi4FO,005mtNZ6PjUxSYdipW,Negotiation,152118,70,2025-06-07,Web,00Qpra1B2mbX5ddn2h,2025-02-15
006shjTAj2dH5WHG7C,Stratus Expansion 49,001EKjuWsiLlRN3iC4,0050fGb9Xo51dtJbLu,Closed Won,210432,100,2023-10-05,Inbound,00QD16Q6BS8yEpbkyC,2023-09-09
006qGiZMuC6KF57O3U,Evergreen Expansion 50,001RJxnDkmhEpsUIfD,005AjaFO16Hd8Hp1Jf,Negotiation,126359,70,2023-05-01,Inbound,00QwUmczQNfxhaqFxY,2022-11-28
006aDa4jgiLOAkWamP,Acme Expansion 51,001kjoCct0HmxoXaBW,005FmC4bvUmQBFO9r1,Proposal,73039,50,2024-06-27,Outbound,00Q7N9Q9A4N5FexWYf,2024-05-11
0067V06DZaHYXNpX7R,Cobalt Expansion 52,001XOjvhLg9eKAQcZe,005bRaTeyEXQ8Puofm,Negotiation,120840,70,2023-03-29,Trade Show,00QFkEBm8CSPrFZYLA,2022-12-20
006TIVJ0Bb20SKJuVd,Oakridge Expansion 53,001oZCAVCDoLsbnQNP,005FyZAQiHdXrvrQlY,Qualification,67929,25,2022-07-25,Event,00Q2B7amnjys5QyeTz,2022-04-17
006kJe41nvbJBd7arO,Lighthouse Expansion 54,001DHn4uOVSVytr5CO,005GBFWjFmmyU3YASa,Negotiation,233922,70,2024-03-22,Partner Referral,00Q1mWOjhbeWzlEGTB,2023-10-17
006vQ6ZBfbMhNutbfM,BlueSky Expansion 55,001fd6kZvYT7CoT1zk,005noBf4oiSp9TePzz,Closed Won,81284,100,2024-06-08,Event,00QjDImBOssed2Ngdq,2024-01-24
006Sprz15Jd8s6rqKR,Nimbus Expansion 56,001jK8UNFFBbAoxlJB,005B24wkYeA8WTwY25,Closed Won,153417,100,2024-03-10,Web,00QzNV9oFA4kX0tgKW,2023-11-13
006xTHb0EHq3p7WuJD,Ironwood Expansion 57,001tiqS9bRD4hVogyy,005ITUm8sMeUL9Z9US,Closed Won,190856,100,2025-05-26,Web,00QvIp5ICJ8iGbgz0x,2025-05-01
006Gf1wEnO4HqDaqmv,Stratus Expansion 58,001nS63t8VPTEnV3wI,005oRycfOWj8YbLrlq,Prospecting,148377,10,2023-09-02,Web,00QUAFbT5AS31r1LJw,2023-03-09
006t2vxDelDXnLfZp0,Oakridge Expansion 59,001xAzga6q0pX7CuKE,005gadkDjdrzTuBZQ0,Closed Won,190034,100,2024-12-31,Trade Show,00QuXekwUxwLRxEr9F,2024-09-13
006IwQfshM0ovOXFCA,Vertex Expansion 60,001iWDZ9dqgyEQS9b1,005bo0fFeWaVUqG2KV,Proposal,220321,50,2023-05-16,Event,00QT3B6mKZV9af6k86,2023-03-31
006TVbT0rx5VW2hx6m,BlueSky Expansion 61,001sxMH035RN6PaA6W,005jI7Sc4sfHBomzPt,Negotiation,211400,70,2023-05-21,Trade Show,00QhuGpakEQx3nMqHH,2023-03-05
006LW4fJ9Q5llAsbUo,Acme Expansion 62,001eMe0MteUDlDC2Ls,005Tdp9BDe2ZbrGft6,Closed Won,69996,100,2025-08-09,Event,00Qrr7uDxyLSsEWoLI,2025-06-12
006LetyAP1QBBte2xi,Acme Expansion 63,001qVRTVTklVJpUliY,0050tsmCN12UJFtP9W,Qualification,244971,25,2023-01-14,Outbound,00QcylPsLG5q4dz3y0,2022-12-10
006lnzIIkp0UzWvDkh,Cobalt Expansion 64,001ZRLf3EpU02c2CHY,005EQtkoEfdgXDf2kK,Proposal,100686,50,2023-09-06,Partner Referral,00QXeGCfm9L4yTDEpd,2023-03-18
006ZpZgPB0qicAUB9g,Cobalt Expansion 65,001BZXxPrjENzeilV8,005t7soLyXgOHMyIPy,Closed Won,136055,100,2024-06-06,Outbound,00Q37kBzA8w5FUqLde,2023-12-30
006xubaoVfEH2FE3Io,Lighthouse Expansion 66,001TWLtb4QfFLQZMOW,005fjwPseptfcyBFSO,Closed Won,230702,100,2023-08-25,Outbound,00QG5NDeInCL1lydU2,2023-04-01
006krepFnUXvckj7BO,Evergreen Expansion 67,001fFOTFKVvPpzh1s7,005qHaW3q8wb36uD9S,Proposal,58896,50,2024-06-13,Event,00QnQXydYskbRX6Kll,2024-05-04
006wS6thwWQgIz8toX,Oakridge Expansion 68,001C9TVDF5UvP7EtHk,005oTniFgpKl8lJKqn,Negotiation,159850,70,2025-01-06,Web,00QHwtIr78dIwFmVGw,2024-09-13
006ErVdD4aLpduw7HV,Stratus Expansion 69,001KG46r5u6WUezo9M,005jkXdzjIn4FETZtu,Proposal,61293,50,2024-09-02,Partner Referral,00QlaHVtn9izhOfh8z,2024-07-01
006icunsFIcJVLlCNv,Vertex Expansion 70,001nTnnPUcxIqedZNQ,005MwKfgdf4TfBF8Zg,Closed Lost,148694,0,2022-05-16,Event,00QuKnjkdKC8LKQfIE,2022-03-28
006gOI6q0wLE2vjs67,Northstar Expansion 71,001cYrU9hr9CG6ioW9,005VxJy5mAR2JIiQzL,Proposal,189618,50,2025-08-28,Inbound,00Q5Kb2cPinuwskGoE,2025-06-11
0061RbllJ4pI76qGfd,Pinnacle Expansion 72,001rIV5fWwMK866zZB,005TqlXejhWbvjVWsd,Negotiation,64792,70,2023-06-04,Partner Referral,00QquuEvSRSIQbcdje,2023-03-11
006fVWpnZ9Zp59w9PZ,Northstar Expansion 73,001IOAl4mmQmy2YAuH,005GkgNJqeO2GW2jXH,Proposal,167612,50,2023-10-13,Web,00QuL4x4k3zJNDDw6Q,2023-06-22
006jFwcE8TBjBasFsg,Oakridge Expansion 74,001zPeFRgUJgzFcIwE,005SkyTvnPdXlfxxMu,Negotiation,72606,70,2023-09-16,Event,00Q9Bl1pI7AcmimpbJ,2023-03-23
006tEEVvfjznxUtlNf,Redwood Expansion 75,001cbi9RCNvqw1eFRF,005cFzr92UqWtEjiS5,Closed Won,33222,100,2023-11-18,Partner Referral,00Q6WE8zxm1i8M9kO9,2023-09-12
006B5ByFgqlAMYTToK,Vertex Expansion 76,001m1qH0XYkrq5QmBb,005Rc5gJ1bF86O0c4W,Closed Lost,223015,0,2023-12-06,Partner Referral,00QaPRpvyqFyGlfP5A,2023-09-24
0064Igm2OAbG19ffsf,Cobalt Expansion 77,001ZAQ615V01D9lXbM,005cFzr92UqWtEjiS5,Negotiation,156548,70,2024-08-12,Event,00QUDjPatXSCQS5CCe,2024-04-18
006D6vSw1AQATCg9if,Ironwood Expansion 78,001oBoBnjMoLtfMbxX,005YpyV0Iqs18vr6hF,Negotiation,176722,70,2024-02-05,Trade Show,00QEGwliB6bogidcrz,2023-10-22
006l3R1HshAuwj1dWj,Summit Expansion 79,001bC9g3zUyifSkVoE,0053VzHd9EJw9O3rur,Qualification,20488,25,2023-10-01,Partner Referral,00Qn4lEP0Epg1ZIhRT,2023-04-16
006fPOR7Qi8clNDjcW,Vertex Expansion 80,001bWTYOaQF3mnvaao,00517kC03BFC8pxkQp,Closed Lost,156136,0,2024-01-02,Partner Referral,00QQ8kprWK9l7jT5e6,2023-07-15
0066ELNAxLJ31nqtOY,Nimbus Expansion 81,001XsYerVGQt69dLwb,005FA8TcXwRGIFLbcj,Prospecting,55277,10,2026-01-12,Outbound,00Q1WYN9AYSJ5xd9Fg,2025-10-15
006HvkeRGF3mI4Shr0,Stratus Expansion 82,001cZ6kFlL71IlmWQL,005nz6ixedb0ulRU2P,Negotiation,51081,70,2024-03-02,Inbound,00QC4VH3DdOCym0Kag,2023-10-28
0061KHOXP1r0eZ8gSM,Summit Expansion 83,001CAfwatPOqPa10G7,0055j5PkhKrYKIRTRf,Closed Lost,169913,0,2023-12-18,Inbound,00QkyF4yvK4dgkkKUF,2023-10-28
006MbQWloDqUsGngWy,Cobalt Expansion 84,001SptFEP7QFS4j07G,005Ho68SXnOO9IeJdv,Proposal,53038,50,2025-05-07,Partner Referral,00QoaKSjvxPooN9g2C,2024-11-16
006s456ABvmqXKmTAw,Summit Expansion 85,001CQ2tikBL5Fc1ycL,005VLfsfX7zhRzFubF,Qualification,166415,25,2022-02-07,Trade Show,00QkUg88FV9KELwEaf,2022-01-01
006ZqYlOzx0hoStyRA,Ironwood Expansion 86,001b1mXDII0afkZyop,005oRycfOWj8YbLrlq,Negotiation,165398,70,2025-07-22,Outbound,00Q0amPWBsyczObZNO,2025-06-12
006vRfibNHKr9etAvB,Cobalt Expansion 87,001AYw2S6Hl7vvP4O6,005U1SVjkIk2fyV5rw,Qualification,38357,25,2025-08-23,Partner Referral,00Q4FUUFa14MKGLukq,2025-06-30
006YZWS5wyIefzqH7H,Oakridge Expansion 88,001Dcc0SQLFSmV023C,005Mw9SUSpD6xFpkOi,Negotiation,199420,70,2023-11-21,Event,00QXIYs2fgPRVR3Z7C,2023-07-01
006NTDg7xfyXNtHbrh,Oakridge Expansion 89,0013uj1BAKgH3DUk9N,005OcXZdxrlsgJWBeG,Proposal,89815,50,2022-09-25,Web,00QVVoZQYNRwsgrWE3,2022-05-06
006JpXSUbfV0Fyuctx,Redwood Expansion 90,001lxMx4uuax1gUHPR,005Rc5gJ1bF86O0c4W,Prospecting,129731,10,2025-07-01,Inbound,00QnMVef2KLxiEgwC5,2025-01-23
006GXi86YfNQmV5xlC,Harbor Expansion 91,00149W5v216r7bjfCb,0059wya6DR3pIs3IPJ,Closed Won,103580,100,2025-04-27,Partner Referral,00Qdv9QxxWi9OLqTSc,2025-02-13
006QP9LkHrEGrIyFU1,Lighthouse Expansion 92,001W0YOWpvPCbqBrBQ,005COStSs3dErO7Qyy,Proposal,180635,50,2022-12-21,Event,00QTsVQVuCAz92dQx4,2022-09-12
006lgJIuRJZsXw21y9,Ironwood Expansion 93,001437H4WtwmzYM0aB,005xQtcNnSs6fMHI2E,Negotiation,68747,70,2025-01-30,Partner Referral,00QESS4dGm9Phnt5tA,2025-01-11
006Scv5gHLOK8Ls6xp,Clearwater Expansion 94,00149W5v216r7bjfCb,005uJa3pJEeyQVnsZp,Proposal,25228,50,2024-11-02,Outbound,00QQQ8dt4y7BYHx0TZ,2024-09-17
006RryaWvY9OA3WVNx,Northstar Expansion 95,0013SMaGSf0UYIlcji,005sbu92PDPF7bHdnm,Closed Lost,105352,0,2025-10-07,Outbound,00QbZ26rfFdK1eJ8sw,2025-04-27
006TdelLPEPiuTdCx8,BlueSky Expansion 96,001pEIenukmZ525VHy,005EQtkoEfdgXDf2kK,Negotiation,172228,70,2022-12-28,Outbound,00QjPHJbmwRQemIa4B,2022-10-06
006kuaixFXBCyLyAZQ,Acme Expansion 97,001LN5bqPT050y2eB9,005GkgNJqeO2GW2jXH,Proposal,147890,50,2024-07-01,Trade Show,00Q28qkoYxRmqkKi5Q,2024-02-25
006gd745f2rj64eAKo,BlueSky Expansion 98,001DRXja0a8d0qIsmr,005FlqJ6WT9psqZImt,Closed Won,102438,100,2024-08-14,Web,00Q6pZCKNx693rgENB,2024-02-28
006zAiOaORfyhUsiqC,Pinnacle Expansion 99,001mtEly1M5kIogQWa,0051xrdseoLzIEtx8d,Closed Won,133656,100,2025-10-23,Trade Show,00QpYWaUYsX4ktolG9,2025-05-18
006eHkuCHFbVtbczhB,Acme Expansion 100,001d1D1fR63924qf3G,005v0k6ScHdsTsZ8Rg,Proposal,48403,50,2025-03-12,Event,00QT161Yw5iHFX8eyK,2024-11-12
006FUee91EGuM1oNuT,Clearwater Expansion 101,0014Pn5YqiIQhEfzwo,005xa0kEIUpEcdrhWI,Closed Won,97147,100,2025-08-01,Inbound,00QJyEQHmkXtr4yPcc,2025-06-11
006MWEa6FpRKwERABT,Northstar Expansion 102,0011StpZFxujDJhgJz,005VxJy5mAR2JIiQzL,Proposal,116979,50,2023-10-03,Event,00Q3erHXT8xZowfOPJ,2023-08-28
006aqyIXzbmebUK2k4,Lighthouse Expansion 103,001Nsd7YBHEzUA9TGa,005y5u3soBmeQ9pyxl,Closed Lost,32177,0,2022-10-23,Partner Referral,00QeUX5UMEFVCmI8P6,2022-04-27
006RHY2fjHB5HsAteo,Redwood Expansion 104,0015NucbjO5afWnvBG,005vqvLHAtIsAKf8Wh,Proposal,217003,50,2022-05-15,Partner Referral,00Q5iIYALeCRcIYVRY,2022-02-04
006OoOi3BQlygDh467,Nimbus Expansion 105,001YJ09Q7SEhUwBEq5,005OcXZdxrlsgJWBeG,Closed Lost,121956,0,2025-02-15,Web,00Qi2pNkWLgTZO5mXV,2024-10-02
0062psE6hP2DOcJDwi,Evergreen Expansion 106,001h13kR7hkSadIQeA,0057tOW88h5S2FQMo9,Proposal,47756,50,2026-04-14,Inbound,00QzshVgMSQvYSbMiU,2025-10-19
006zqMUgrmtxmSMS72,Lighthouse Expansion 107,001d1D1fR63924qf3G,005I4QuXwZXCZDkjMX,Closed Lost,148597,0,2023-01-26,Inbound,00Q1r5fy3cd5noz05k,2022-11-22
0065Odk4XXmSi4Qeq9,Cobalt Expansion 108,001p1UmFmSAyva5bn1,005uzGGUX4TIYx0w3I,Closed Won,189707,100,2022-11-02,Outbound,00Q4iDOMpi4MBwxXBL,2022-06-28
006swHNXcN3HoHviJe,Summit Expansion 109,001RWYMQCm0EjyWgAW,005farfat1cfKFkByw,Qualification,58293,25,2022-05-14,Web,00QjLx1QROiX9GBIbT,2022-02-09
006ss7Py2jBldMBgUe,Oakridge Expansion 110,001RAUB3plXeZEyBaW,005noBf4oiSp9TePzz,Proposal,153982,50,2025-12-17,Inbound,00QUs7RHfiKvYOj1c0,2025-10-02
006tMfwCtPD7SadURv,Redwood Expansion 111,001qH6ZDpf0eADSAlP,005Wrx3urpzsQneM9P,Closed Won,183241,100,2023-04-17,Partner Referral,00QeN3QbkfjDIhFxzG,2022-12-22
006cbmMPPaSMV2B4Pb,Northstar Expansion 112,001kfkIsxAL5wI7LHx,005bBd6E3UkbkZtoaS,Qualification,11280,25,2023-08-10,Trade Show,00QY7KLE1zVJOv9zl4,2023-06-15
006JuVE6HE31veLlad,Pinnacle Expansion 113,001gRWOVecetf4hXkI,005eGrxIA9j7Kap744,Qualification,219711,25,2023-03-02,Partner Referral,00QVqyCiqULiRsLUK0,2022-11-28
006Q3hqhYzAhjTLpT4,Harbor Expansion 114,001dL7y1DwE1ZiYydk,005g1giftkTe0BXVrH,Closed Won,248110,100,2025-12-20,Partner Referral,00QGVxMRABovQsbZvz,2025-10-15
0060ZhpWs5PPeAuidM,Vertex Expansion 115,001uCmLiRZdKu0ADdM,005DJJzk8TFPHjwamm,Proposal,16140,50,2023-09-24,Partner Referral,00QKH8ZzS6s3jvxJQR,2023-06-02
006TaQaIJriXhCxeVY,Summit Expansion 116,001RkXpyixypCZR1x8,005Cu36WnbRoy8DEqo,Closed Lost,195264,0,2024-01-29,Web,00QI7xVg9v0eygVqJQ,2023-09-21
006nns4JaKXekDWgBS,BlueSky Expansion 117,001Wsbo21eRyjvYNfS,005c3NF5GIwHluYW9b,Closed Won,172379,100,2022-12-20,Web,00QostbGajAumRc33O,2022-09-25
006KhWhTalWu994RZg,Cobalt Expansion 118,001HrkiIU19yNwClLV,005ROiSKxdkvxxfjgH,Prospecting,214579,10,2024-07-10,Trade Show,00Qtbl2QXlE39WMkto,2024-06-02
006RivxbAhHuaL2UgO,Pinnacle Expansion 119,001KXx0BQALJqgXmWP,0052iY9Uot4wf3iCnE,Proposal,228301,50,2023-06-20,Event,00QK8EsD6qCEH7LytY,2023-03-20
006ZhTDpA3KB0LHYgq,Lighthouse Expansion 120,001dJbUm1fYSBj1M6j,0053OvJBQj7lluaSJM,Closed Lost,47884,0,2024-07-01,Partner Referral,00Q7DGwf4dJDFTzVbg,2024-04-14
006Ye4Z738banbqHjR,Pinnacle Expansion 121,001mnKaYITO2R5tuvG,005IAWyyPlUBLQDIva,Closed Won,194021,100,2025-05-17,Event,00QLvD1OO7BgdJqz1W,2025-04-02
00682RR7ZbEUtOLcqH,Ironwood Expansion 122,001InVbgkiYWcTg8xl,0050tsmCN12UJFtP9W,Closed Lost,82573,0,2023-06-04,Event,00QwsYOB3t21giXoAX,2023-04-28
006ldX3ukfpoonSTSL,Summit Expansion 123,001AtLlq4jYkGnEb4H,005I3dLDQYUNdUVw4Y,Closed Won,41023,100,2022-11-06,Trade Show,00Q5oQtYN0fHeDhJhh,2022-10-10
006ouqkET19rt40PfW,Cobalt Expansion 124,001VySXuTLLcJZHj2P,005c3NF5GIwHluYW9b,Closed Won,68019,100,2025-09-26,Trade Show,00QJd47CSDkTx0oXp1,2025-07-18
006RYJsRAPo6ThXF5l,Pinnacle Expansion 125,001Da9fk8kApBZkb86,005Mw9SUSpD6xFpkOi,Negotiation,94728,70,2023-12-25,Inbound,00QOdlDhHHGMnVD5QD,2023-11-22
006TyK3rvmiSpVICHc,Pinnacle Expansion 126,001SCH3fdXD4mrXQbV,005ROiSKxdkvxxfjgH,Negotiation,114062,70,2023-09-07,Partner Referral,00QMgUcbiGSnmz4FY8,2023-06-16
006waXq9yYRXJDSxvG,Stratus Expansion 127,001MM82onmCv3S9tns,005FyZAQiHdXrvrQlY,Proposal,123780,50,2025-07-11,Outbound,00QzToz4JZFUVJloRK,2025-04-03
006BGDLQYdjjoNetKs,Vertex Expansion 128,001Q2JFtBUTPVvy0FM,005TpaHIC8CTfHGP4i,Closed Won,111139,100,2026-05-27,Partner Referral,00QD3e9ZgjUTYOBsRV,2025-12-29
