id,name,account_number,owner_id,type,industry,annual_revenue,employee_count,billing_city,billing_state,billing_country,created_date,is_active
001MxQ1hMWtaSKCjf6,Harbor Consulting 35,ACC-100034,005ZRAk3rxvD6mvf15,Customer,Education,32756811,2718,Phoenix,AZ,US,2024-06-01,true
0018FxgEuuG5QpOdSQ,Pinnacle Services 36,ACC-100035,005uJa3pJEeyQVnsZp,Prospect,Technology,7198062,1441,San Francisco,CA,US,2021-11-02,true
0012w4CA2IqpKVW5c9,Cobalt Financial 37,ACC-100036,0053WZIwXgjGUPdHRc,Partner,Financial Services,49695357,771,Phoenix,AZ,US,2021-07-14,true
0011Ys2ezap4zKHIsu,Stratus Group 38,ACC-100037,005bRaTeyEXQ8Puofm,Customer,Healthcare,7460068,3418,Nashville,TN,US,2022-07-11,false
001r41u5Ie6fH4acCE,Nimbus Technologies 39,ACC-100038,005eDoAsKFf2bpyVk2,Prospect,Education,21588151,111,Dallas,TX,US,2025-11-02,true
001WqrpYJ10j5nDAp7,Cobalt Systems 40,ACC-100039,0055zd5SriKEc8WlTo,Customer,Manufacturing,31993447,4071,Nashville,TN,US,2023-09-14,true
001DgOjpYZ0PFdczkc,Lighthouse Media 41,ACC-100040,005t7soLyXgOHMyIPy,Customer,Retail,30502233,2599,Austin,TX,US,2022-07-24,true
001CjjA0Fym9noT4gj,Pinnacle Software 42,ACC-100041,005I3dLDQYUNdUVw4Y,Customer,Education,45561882,3747,Los Angeles,CA,US,2023-04-25,true
001xnmetqXtcHGwqOA,Oakridge Media 43,ACC-100042,005bBd6E3UkbkZtoaS,Prospect,Financial Services,43024281,2401,Charlotte,NC,US,2024-02-22,true
001tvuaGQnMMH72ZNd,Harbor Retail 44,ACC-100043,005ZmDANT8NxIwQSUH,Customer,Education,23178336,892,Chicago,IL,US,2025-08-11,false
001ql9gI9fAhvDj7b1,Pinnacle Group 45,ACC-100044,005uzGGUX4TIYx0w3I,Partner,Retail,34613643,1461,New York,NY,US,2023-07-26,true
0016swPRZ9VSczIIam,Stratus Partners 46,ACC-100045,005eP2OT2tJzd6Dja9,Partner,Education,34879510,2458,Seattle,WA,US,2024-06-01,true
001W6rItp9LgisoUtH,Vertex Foods 47,ACC-100046,005Tdp9BDe2ZbrGft6,Prospect,Manufacturing,32737079,4784,Philadelphia,PA,US,2024-11-07,false
001YJDqDMRwyKSrQJ1,Acme Financial 48,ACC-100047,0059wV9ybGAGQOgvhj,Customer,Education,20306548,1681,Philadelphia,PA,US,2021-02-21,true
001gyyzsSsqD7YYa9y,Lighthouse Software 49,ACC-100048,005jI7Sc4sfHBomzPt,Partner,Financial Services,37552454,450,Charlotte,NC,US,2022-05-02,true
001livmMxu9MScLrEL,Lighthouse Labs 50,ACC-100049,005mYnZlHWW2dnL0rt,Customer,Education,34983678,987,Miami,FL,US,2025-03-27,false
001l2QAVdt7JCJ7UmD,Ironwood Retail 51,ACC-100050,0052vuTGNhPaf9DJtR,Partner,Manufacturing,44918700,2477,New York,NY,US,2021-11-26,false
001EygKaiiZFWO4NqV,Lighthouse Manufacturing 52,ACC-100051,0053WZIwXgjGUPdHRc,Prospect,Financial Services,20201441,1799,Philadelphia,PA,US,2023-12-03,false
001WcP5pn6nP9Cr4UY,Acme Financial 53,ACC-100052,005ROiSKxdkvxxfjgH,Customer,Retail,17719500,4435,Philadelphia,PA,US,2024-10-01,true
001S5pMUgF8GK9xiiA,Oakridge Services 54,ACC-100053,00517kC03BFC8pxkQp,Partner,Technology,14645305,1756,San Francisco,CA,US,2021-03-31,false
001dtVCFEDLyQjEk0O,Northstar Retail 55,ACC-100054,005H18uJWTVdyNheWe,Prospect,Retail,26540427,3705,Chicago,IL,US,2021-02-18,false
001unEwvlCs2EW7gGS,Pinnacle Technologies 56,ACC-100055,005r9q3iIp3WHLiZhI,Partner,Financial Services,41205944,718,Minneapolis,MN,US,2024-08-06,true
001OIvZyz2iS9oJTr4,Harbor Manufacturing 57,ACC-100056,005M1BnJPIeqHk8Nds,Partner,Education,25540364,101,Dallas,TX,US,2023-12-29,true
001Nvv5uWNa5p2gJKL,Stratus Health 58,ACC-100057,005rTQ0LB8Z2cjvjPG,Customer,Manufacturing,17461213,1601,Chicago,IL,US,2022-09-17,true
001jESqEQGMulf8VWI,Summit Group 59,ACC-100058,005CL72UB9NlJw0t0Z,Partner,Education,16239233,829,Denver,CO,US,2024-08-13,true
001nqTslJkkXzU9bKA,Harbor Group 60,ACC-100059,005cFzr92UqWtEjiS5,Prospect,Healthcare,15366338,3582,Austin,TX,US,2022-11-04,true
001WxTfjGLpmF1R20I,Harbor Group 61,ACC-100060,005RYrmmC3EMzwluqj,Partner,Healthcare,18165378,636,Charlotte,NC,US,2023-07-02,true
001lN6CjQi5iepxJXZ,Acme Software 62,ACC-100061,005OcXZdxrlsgJWBeG,Customer,Manufacturing,49706019,2393,San Francisco,CA,US,2025-04-25,true
001AqP29znrKwgIcKL,Stratus Labs 63,ACC-100062,005PkYO2xaCUvet6zY,Partner,Manufacturing,44752477,1207,Dallas,TX,US,2023-10-26,false
001XOCqNh6yXYe6d4C,Lighthouse Health 64,ACC-100063,005gvRs74Xd8fUlA3x,Customer,Education,22248044,855,Charlotte,NC,US,2022-06-26,true
001YXlp51EhQY6OhZW,BlueSky Software 65,ACC-100064,00552has5XdvFlGgIo,Prospect,Retail,32853860,4959,Miami,FL,US,2024-08-31,true
001gpRNJLKXmt0HqOa,BlueSky Systems 66,ACC-100065,005Wrx3urpzsQneM9P,Prospect,Education,8106031,3954,San Diego,CA,US,2021-06-07,false
001CIklKIogC5kJDKQ,Cobalt Technologies 67,ACC-100066,005RNwgHWbHSrrlfhq,Customer,Manufacturing,27709712,4919,Los Angeles,CA,US,2022-05-15,true
001eKO1amJyl0xLnqg,Oakridge Services 68,ACC-100067,005bLIYitOgj1qzWEZ,Prospect,Healthcare,49099353,2817,Phoenix,AZ,US,2025-11-12,false
001Mh36gra0JmGLe5n,Evergreen Financial 69,ACC-100068,005SzPtEFRJYtyoJvY,Partner,Technology,36163660,4133,Austin,TX,US,2021-02-03,true
001aX3CshbO8zeyxYW,Acme Partners 70,ACC-100069,0055pWDZRM9H820dFq,Partner,Education,47255255,4729,Austin,TX,US,2023-12-06,true
001m4iaQMAtvyAkhHh,Lighthouse Health 71,ACC-100070,005w1rZfJkoRoaYcEo,Customer,Retail,44425846,1692,Minneapolis,MN,US,2022-08-04,true
0012ibkXnRrZwNajyj,Cobalt Energy 72,ACC-100071,005mbGysH2pp4xju3N,Prospect,Healthcare,25344571,4590,Minneapolis,MN,US,2022-06-20,false
001I23qHvOcys8KGNg,Nimbus Software 73,ACC-100072,005kPk12Yr5iVYwvIy,Prospect,Financial Services,37448544,436,Miami,FL,US,2025-02-15,true
0017mbFEQOXFmCuY7Z,Northstar Retail 74,ACC-100073,005tNEaaVidaDN1aY5,Partner,Education,35464090,2356,Portland,OR,US,2023-08-24,true
001q7zhSMCymghsOnK,Acme Consulting 75,ACC-100074,005Wrx3urpzsQneM9P,Partner,Technology,24641742,1969,Denver,CO,US,2025-10-08,true
001ZZlMhAvtE6FjSu1,Stratus Labs 76,ACC-100075,005SHkriY5Z0W9xzJS,Partner,Manufacturing,23860276,2856,Denver,CO,US,2024-10-03,true
001AQLagGjEgSV8Hzg,Oakridge Software 77,ACC-100076,005EecxXglGcgO8nCu,Prospect,Manufacturing,39080475,2059,Atlanta,GA,US,2024-03-23,false
001d5l3BeHQEYoyOrs,Redwood Group 78,ACC-100077,005r8kcdxSxYgha9K0,Customer,Financial Services,28177438,2902,Portland,OR,US,2024-10-27,true
001j7LeUWN5kRL8vr7,Stratus Media 79,ACC-100078,005uJa3pJEeyQVnsZp,Customer,Retail,49966765,1645,Miami,FL,US,2021-06-05,true
001P1nWJxGH6Fr9qfn,Lighthouse Consulting 80,ACC-100079,005qHaW3q8wb36uD9S,Customer,Manufacturing,3336230,3960,Atlanta,GA,US,2025-09-06,true
001w6gRZOwkIDhzbe8,Ironwood Services 81,ACC-100080,005HAD1xOIM0ZXro8p,Partner,Technology,34220540,2854,Nashville,TN,US,2022-01-10,false
001AArNYlGUXn3QLjQ,Oakridge Media 82,ACC-100081,005Xq8vs8ialvuJ4ap,Customer,Financial Services,32131451,2820,Denver,CO,US,2024-11-12,true
0012ZRcLkIkrO0GuRz,Cobalt Labs 83,ACC-100082,005tcchhnKXX6SYaxV,Customer,Manufacturing,29505709,3130,Denver,CO,US,2023-01-18,true
001ALafI52ohiuUyfT,Evergreen Services 84,ACC-100083,005SkyTvnPdXlfxxMu,Prospect,Manufacturing,38606729,400,Seattle,WA,US,2025-07-09,false
0011oGcvVQXXjj7zQW,Vertex Energy 85,ACC-100084,005cVL9DQ83eH0EZfE,Customer,Retail,8636110,2886,Chicago,IL,US,2023-09-03,true
001gfxvc4FYnSdo9J3,Nimbus Media 86,ACC-100085,005sj6ewizq0NwPrwm,Customer,Education,23141746,3465,Philadelphia,PA,US,2024-10-10,false
001pStRmpZR4cx38Xv,Lighthouse Media 87,ACC-100086,00536VT96AN7M9vHvw,Partner,Manufacturing,30718360,3401,Austin,TX,US,2022-10-11,true
001svFNKZGGE74ejDB,Lighthouse Energy 88,ACC-100087,0056SOvFbGwot3GcKs,Prospect,Manufacturing,6086893,861,Denver,CO,US,2025-03-04,true
001vScoIIh1KBCqW36,Clearwater Systems 89,ACC-100088,005SzPtEFRJYtyoJvY,Prospect,Retail,31852823,4438,Seattle,WA,US,2022-05-22,true
001vo4kbhooiT6WeiO,BlueSky Group 90,ACC-100089,005irLwe9xEBlEAQNC,Customer,Retail,21160684,3006,Philadelphia,PA,US,2024-07-16,false
001SeiAs7f8weTAxbz,Acme Retail 91,ACC-100090,005nz6ixedb0ulRU2P,Prospect,Manufacturing,16016602,69,Miami,FL,US,2022-12-06,true
001KtvpY1YOQFboPhw,Cobalt Software 92,ACC-100091,0052vuTGNhPaf9DJtR,Partner,Education,46445432,2237,Boston,MA,US,2022-05-27,true
001ISHodncRsnfMUBJ,Vertex Health 93,ACC-100092,005dJm5gIU7nUKZnv1,Customer,Manufacturing,1985178,1533,Philadelphia,PA,US,2022-01-09,true
001JAfNVaTyzfXdsyC,Acme Systems 94,ACC-100093,005mYnZlHWW2dnL0rt,Prospect,Technology,10303788,469,Phoenix,AZ,US,2021-07-04,true
001Q0Y1AHxtPYxcPvC,BlueSky Consulting 95,ACC-100094,005iRmiKUtSSkR82g5,Customer,Retail,49846676,779,Portland,OR,US,2025-09-20,true
001uCv7jhHQeoTMX4D,Redwood Manufacturing 96,ACC-100095,005dEsDKcaedNVmJU3,Partner,Healthcare,8078500,1943,Los Angeles,CA,US,2024-07-12,false
001PAClysesmJXxFPK,Pinnacle Software 97,ACC-100096,005SHkriY5Z0W9xzJS,Prospect,Technology,46532965,2782,Nashville,TN,US,2025-06-05,true
001OUjypwWz5cuMBsY,Pinnacle Retail 98,ACC-100097,005mbGysH2pp4xju3N,Prospect,Education,9541723,2063,New York,NY,US,2023-09-27,true
001kLiWUudR31m63jK,Clearwater Services 99,ACC-100098,005ON53s4keRC7Er7R,Customer,Manufacturing,10903583,3691,Los Angeles,CA,US,2022-01-24,true
001L4Bn2XxnPUuEq9i,Acme Software 100,ACC-100099,005rfIoTPQqJtbyYEc,Prospect,Healthcare,35669726,4085,Miami,FL,US,2025-02-11,true
001qEC18IL3CMGfMGC,Pinnacle Financial 101,ACC-100100,005lWDDSfm41preSiA,Partner,Education,26578425,4023,Phoenix,AZ,US,2023-12-08,true
001f741FdzoDXjv84a,Acme Consulting 102,ACC-100101,005bo0fFeWaVUqG2KV,Prospect,Education,4412448,2187,New York,NY,US,2024-09-04,true
001uOiYMMhqPko8Ljv,Vertex Financial 103,ACC-100102,005COStSs3dErO7Qyy,Partner,Retail,7580936,4733,Austin,TX,US,2021-07-27,true
001LjZgVqKimc7W5Uj,Pinnacle Manufacturing 104,ACC-100103,005y5u3soBmeQ9pyxl,Prospect,Financial Services,28171889,3537,Dallas,TX,US,2025-06-11,true
0019cc9ZAuCSmBhI4T,Stratus Energy 105,ACC-100104,005yopVEVGjrYSQu2q,Customer,Financial Services,15390564,1769,Atlanta,GA,US,2023-01-08,true
001CdWJIQX4lPOQzTF,Ironwood Retail 106,ACC-100105,005RpFPjmmumSx8sB2,Partner,Retail,38689301,1791,San Francisco,CA,US,2021-07-13,true
001pTCuzkYFxD6xVW4,Harbor Financial 107,ACC-100106,005TpaHIC8CTfHGP4i,Prospect,Retail,8589337,1867,Nashville,TN,US,2024-05-04,true
001kJUgsOJDruZcwmk,Summit Media 108,ACC-100107,005Fg6NzJiUZlow1pr,Partner,Technology,15403914,3548,Portland,OR,US,2024-01-11,true
001vDjZQFZgbxsIwIe,Northstar Services 109,ACC-100108,00536VT96AN7M9vHvw,Partner,Healthcare,33239804,3248,Portland,OR,US,2024-03-16,true
001RxbUr7kFHqabXWM,Lighthouse Systems 110,ACC-100109,005SkyTvnPdXlfxxMu,Prospect,Financial Services,40354420,208,Philadelphia,PA,US,2021-05-27,true
001C70OMrXJwu2FHvD,Oakridge Retail 111,ACC-100110,005LrxjB8ud8tNczS1,Customer,Manufacturing,10410440,2366,Denver,CO,US,2023-06-22,true
001BVNviNNihwQjenu,Clearwater Group 112,ACC-100111,005AjaFO16Hd8Hp1Jf,Customer,Education,47392669,160,Nashville,TN,US,2023-08-23,false
001ysnRDdp8AEYqRq2,Summit Foods 113,ACC-100112,005ZmDANT8NxIwQSUH,Partner,Financial Services,7740471,166,San Diego,CA,US,2022-02-16,true
0013miFLMg9dj7tBCP,Pinnacle Media 114,ACC-100113,005eDoAsKFf2bpyVk2,Partner,Financial Services,22885479,4023,Portland,OR,US,2023-09-20,false
001gRzDoQ4Y40B8j8R,Nimbus Foods 115,ACC-100114,005dKuyWKIuifL64ip,Customer,Healthcare,23436880,3228,Denver,CO,US,2022-04-29,true
001kJbT6mVciINpIli,Lighthouse Partners 116,ACC-100115,005wBTdruibiY0OPdW,Partner,Healthcare,9768381,2541,Austin,TX,US,2022-05-08,true
001ji8uHLU14JuBwU4,BlueSky Media 117,ACC-100116,005d2TMY2eGPYkWkSs,Prospect,Retail,20857346,3639,Minneapolis,MN,US,2021-05-19,true
001wnnRmknOmOOrBWF,Evergreen Manufacturing 118,ACC-100117,005jI7Sc4sfHBomzPt,Partner,Retail,9498401,4125,Seattle,WA,US,2021-02-23,false
001KMOCawA7R8aOvqM,Harbor Services 119,ACC-100118,005SzPtEFRJYtyoJvY,Customer,Technology,12383516,3608,Charlotte,NC,US,2021-10-09,false
001Cmv0YuUZn8vkmih,Cobalt Software 120,ACC-100119,005egJ9DcGz51VtFgp,Partner,Education,3084494,4275,Nashville,TN,US,2025-05-09,true
001CjYhwo9DMScZ4Tx,Lighthouse Software 121,ACC-100120,00569YZ8tMEls1oPGs,Prospect,Retail,11672726,3470,Dallas,TX,US,2025-02-14,true
001ugHLxl85siIZaUc,Oakridge Group 122,ACC-100121,005d2TMY2eGPYkWkSs,Customer,Healthcare,30945998,4845,New York,NY,US,2021-07-05,true
001HtcoXFhtYuygn8K,BlueSky Financial 123,ACC-100122,005eP2OT2tJzd6Dja9,Prospect,Manufacturing,26042104,369,Dallas,TX,US,2021-07-06,true
001xtDaTTux9cSoLH5,BlueSky Retail 124,ACC-100123,005mbGysH2pp4xju3N,Customer,Healthcare,737088,2083,Nashville,TN,US,2022-01-02,true
001NlqedacFmmAP4jR,Acme Services 125,ACC-100124,005xi0Xi0wCwuciNbG,Partner,Education,37916456,1710,Dallas,TX,US,2022-05-03,true
001Cqk1mTV6FDGaLKr,Summit Retail 126,ACC-100125,005k1Pfjp8rVQw0f9u,Prospect,Manufacturing,44853899,4883,Denver,CO,US,2025-10-15,true
001TUX5Y0Ewb1jESeI,Summit Health 127,ACC-100126,005oTniFgpKl8lJKqn,Customer,Education,18915916,2706,Dallas,TX,US,2025-04-23,false
001uohFeusm7ytSbm2,Summit Financial 128,ACC-100127,0053QDpe3Xj7Gt2h2H,Prospect,Financial Services,35758408,4721,San Diego,CA,US,2024-03-16,true
001L4nOtSMAHBdoyHv,Harbor Services 129,ACC-100128,005Ho68SXnOO9IeJdv,Customer,Manufacturing,28325488,3401,Seattle,WA,US,2025-07-13,true
001SQyETTgjUxAHrVV,Acme Consulting 130,ACC-100129,005yopVEVGjrYSQu2q,Prospect,Education,38679678,248,Nashville,TN,US,2024-11-14,true
001CpIeJod53i5Vdy0,Harbor Services 131,ACC-100130,005DtIhNjUqehYU9Ld,Prospect,Education,4259591,4278,Boston,MA,US,2025-06-21,true
00164yWEJR1BVYoi1K,Vertex Media 132,ACC-100131,0051FeBviD8WOpEx9p,Partner,Manufacturing,26643350,1545,Nashville,TN,US,2025-06-26,true
001Ff4PXc18TNhTLHX,Summit Energy 133,ACC-100132,005cFzr92UqWtEjiS5,Customer,Healthcare,6714557,3645,Phoenix,AZ,US,2023-04-28,true
001u3hTxUJx3G08hrI,Vertex Media 134,ACC-100133,0053VzHd9EJw9O3rur,Customer,Education,2952999,3773,Los Angeles,CA,US,2023-09-18,false
001d4CGhxqvTBkwTo5,Summit Health 135,ACC-100134,005GmCcmrt3DPvCZcO,Customer,Financial Services,13959052,1587,San Diego,CA,US,2022-11-14,true
001KRHA9njgGNiWjUR,Pinnacle Energy 136,ACC-100135,005FA8TcXwRGIFLbcj,Customer,Education,19509773,4712,Miami,FL,US,2021-11-02,true
001Be5rDGYDFbZLtm5,Oakridge Logistics 137,ACC-100136,00536VT96AN7M9vHvw,Partner,Education,46813497,3662,Denver,CO,US,2021-09-24,true
001IF0z6sdGdTrptxd,Northstar Group 138,ACC-100137,005JwwpEL8xofdwkwl,Prospect,Healthcare,15518591,1187,Phoenix,AZ,US,2024-03-08,true
001BEeHWed2KSxWmkI,Redwood Group 139,ACC-100138,005YgcwjR0nrnHIGZX,Partner,Technology,27725125,886,Charlotte,NC,US,2023-09-26,true
001aPnPjKeYEVN0slb,Oakridge Software 140,ACC-100139,005zvrK8BJ2mrycCIE,Prospect,Manufacturing,23464709,4470,Philadelphia,PA,US,2024-04-24,true
001mdUjG0cLT9ZEmGr,Harbor Financial 141,ACC-100140,005COStSs3dErO7Qyy,Partner,Retail,22471995,4059,Denver,CO,US,2024-04-27,true
001JciSYnkcMNr4UTk,Acme Retail 142,ACC-100141,005BLRswT6VWAL3Jkq,Partner,Financial Services,29674037,2830,Austin,TX,US,2024-09-15,true
001SDX5j9DAtj0WH3S,Stratus Retail 143,ACC-100142,005xIxpup9aX5Yc366,Customer,Healthcare,29471936,4844,San Francisco,CA,US,2025-10-12,false
001NqLeIMjY17X1aJS,Stratus Partners 144,ACC-100143,0058XwJMmgZgCCCItV,Partner,Healthcare,9511207,105,Nashville,TN,US,2024-01-22,true
001Ipza3d5ysm7bnLd,Cobalt Retail 145,ACC-100144,005gvRs74Xd8fUlA3x,Partner,Retail,37547450,3696,San Francisco,CA,US,2021-06-23,false
001uPtgRa7ikXCCket,Acme Services 146,ACC-100145,0059wV9ybGAGQOgvhj,Prospect,Technology,39441178,3954,Charlotte,NC,US,2025-10-01,true
001Fh4nFPeovq9qEro,Ironwood Group 147,ACC-100146,00574uwHCzqanx744B,Partner,Manufacturing,21471501,442,Seattle,WA,US,2023-11-25,true
001uVaW9zSSKCs7mvT,Oakridge Services 148,ACC-100147,005rwMLn2o5Z0bgUFZ,Partner,Manufacturing,17978043,513,Philadelphia,PA,US,2024-03-21,false
001FIgE2yRQInRR2QA,Acme Foods 149,ACC-100148,005iSUGFUqSTcmtbKs,Partner,Technology,41021777,1440,Denver,CO,US,2023-09-20,true
001Lzh3CVF9Jm70J1f,Ironwood Systems 150,ACC-100149,005GkgNJqeO2GW2jXH,Prospect,Retail,16468382,3615,Dallas,TX,US,2023-09-21,true
0010HDKdZeTev8w7iO,Summit Energy 151,ACC-100150,005FW7cpQveNM0iR7j,Prospect,Education,47852538,3205,Boston,MA,US,2025-03-28,false
001cYrU9hr9CG6ioW9,Acme Foods 152,ACC-100151,005H18uJWTVdyNheWe,Prospect,Manufacturing,44259403,2243,Miami,FL,US,2025-06-21,true
001xrvPurlxMhVrsLU,Ironwood Software 153,ACC-100152,005UyDSWXbJPhakryL,Partner,Technology,45650968,79,Miami,FL,US,2023-08-03,true
001OuSQMCBnFD8mq51,Pinnacle Group 154,ACC-100153,005oTuswObpFtGANeE,Customer,Manufacturing,43321017,1007,San Francisco,CA,US,2022-12-21,true
001sLQSdq7Eod7Rxbs,Stratus Manufacturing 155,ACC-100154,0056SOvFbGwot3GcKs,Partner,Financial Services,17769566,1336,Austin,TX,US,2021-08-16,true
001Q90QLcEf7MnZLpf,Stratus Media 156,ACC-100155,005noBf4oiSp9TePzz,Customer,Healthcare,36781209,3542,Miami,FL,US,2021-05-04,true
001EEkuQxcB5fJpoA7,Ironwood Financial 157,ACC-100156,005EQtkoEfdgXDf2kK,Customer,Education,26704925,2192,Chicago,IL,US,2021-03-13,true
001bZ2uxzyEiOAY9s0,Acme Services 158,ACC-100157,005kPk12Yr5iVYwvIy,Prospect,Technology,38567092,4395,Nashville,TN,US,2023-09-07,true
001i29VF1dwxSpMLjC,Summit Health 159,ACC-100158,0058XwJMmgZgCCCItV,Prospect,Education,13318005,2458,Nashville,TN,US,2023-01-19,false
001ocvMICMBulPfYEy,Harbor Health 160,ACC-100159,0057tOW88h5S2FQMo9,Partner,Education,21151469,4103,Chicago,IL,US,2025-12-18,false
001HNzpqhd8r33iJvl,Redwood Logistics 161,ACC-100160,005tRa1eePdjJYM6mg,Customer,Technology,2974818,1169,San Francisco,CA,US,2023-04-11,false
001LoD5T0yGdnK1lE0,Lighthouse Retail 162,ACC-100161,00569YZ8tMEls1oPGs,Customer,Technology,33862735,4884,San Francisco,CA,US,2021-01-30,true
