,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day_clean,task_activity_recency_score,task_created_recency_score,status_context_score,lead_source_context_score,owner_role_context_score,context_score,engagement_score,urgency_score,activity_strength_score,priority_score,priority_percentile,lead_is_converted
status_context_score,-0.001817195381810838,-0.0011077604158771443,-0.00144402130015203,0.006251835374985114,0.004793936716374799,-0.0023863961469927923,0.00402657051776122,0.003699291907922792,-0.004117421560066962,-0.005108076490824296,0.009602657289256791,-0.001985874303354226,-0.001266258177373284,-0.0035113168673522378,-0.014097509174523432,-0.0125974076488444,1.0,0.004219065117933015,0.008632702860532816,0.7492343571910653,-0.0056800779113845914,-0.003942136177716164,-0.00247556311711791,0.4825842676511766,0.4858334444203699,0.012287695091258216
lead_source_context_score,0.0075858321166869455,0.004572453546180643,0.00608042790033614,0.011956087418522601,0.018089206645805767,-0.011512510463412465,-0.018625061742913656,-0.018115719178520215,-0.0035797871072960523,0.003854926288913878,0.016230105207358948,-0.0008202501920421637,0.00158327003457419,0.013643798968399326,0.014630130682838902,0.013277921775673978,0.004219065117933015,1.0,-0.011482005747636977,0.5889664106302623,0.012875824877887108,0.011297555261764378,-0.0032494792795006735,0.39231162928457497,0.39076421116089793,0.00797348507748982
owner_role_context_score,0.007918938273189076,0.010244694692421993,0.0008191185820690923,-0.004334110754394141,0.0023524964163328483,0.0008617412182013851,-0.0021831980519207853,-0.0019349291316897131,-0.0016757277285084364,-0.00791292215687853,-0.005632030580808613,-0.0015805690061572839,0.0033318791441900985,0.006071579828657829,-0.000548899081007388,-0.0018322588302686386,0.008632702860532816,-0.011482005747636977,1.0,0.3086766915159307,0.00476513615706111,0.011158575809881612,-0.003937327986412029,0.20690568653158437,0.2048151731080148,0.008680784122585833
context_score,0.005565877050833003,0.0050364490403167015,0.0027623107524982777,0.010359159243765436,0.014955373232874844,-0.008294562995707619,-0.008660710379393062,-0.00852723171600131,-0.005691363447464459,-0.0039740746783486405,0.014970355575973935,-0.0024495128411825932,0.0010205616207223914,0.007304859245702981,-0.002036659442771207,-0.0021140067315647275,0.7492343571910653,0.5889664106302623,0.3086766915159307,1.0,0.004834784610526776,0.007173463121677555,-0.004973894847818321,0.6542381963765777,0.6550978226055444,0.016524943872577667
engagement_score,0.9139726206073354,0.6423610590141352,0.6401921496917936,0.7174683174255054,0.14350288944795422,-0.08033548602194615,-0.47387036653135745,-0.46875070330963864,0.10916515094305772,0.09947357059066901,0.2979427340013448,0.0244659934891583,0.040849381539679507,0.4156731435670768,0.5518205391914192,0.547823298229098,-0.0056800779113845914,0.012875824877887108,0.00476513615706111,0.004834784610526776,1.0,0.28515904306464224,0.6863504294851264,0.6384342372163396,0.6244856608200339,0.0016918160241899498
urgency_score,0.1108027653936766,0.07601632868094896,0.0794895239534725,0.0747167092299577,0.1980755171840391,-0.12735758048529028,-0.7772042161635171,-0.764990774723879,-0.11207851998341335,-0.10775182959601567,-0.06799851596823397,-0.09153315775814198,-0.06636524404849445,0.09646816368892881,0.6900129546480287,0.6850900191428189,-0.003942136177716164,0.011297555261764378,0.011158575809881612,0.007173463121677555,0.28515904306464224,1.0,-0.0998799239492439,0.5606937095123143,0.5306129045456277,0.0016467555428819392
activity_strength_score,0.6614020945983293,0.46641641438485976,0.46169507450490355,0.7330617196589788,-0.4396372188544049,0.1138285865295416,0.04369105603337468,0.0409096764937263,0.10726360636731691,0.09576876726406232,0.5271037604670431,0.13448012823146235,0.13821759263561756,0.24116849057755455,0.016211378576367428,0.006357054765707064,-0.00247556311711791,-0.0032494792795006735,-0.003937327986412029,-0.004973894847818321,0.6863504294851264,-0.0998799239492439,1.0,0.39398762643188745,0.3856159862819972,-0.004071513277933116
priority_score,0.5204594029792909,0.3659464562902492,0.36439861617140146,0.4470358452092322,0.07306967177764577,-0.07352278442877369,-0.4951163921935699,-0.488508529659166,0.004624538951012092,0.001993982675291483,0.1881525725473799,-0.010030185626862576,0.010825046450211444,0.2501575946671379,0.5305494396562768,0.5248455391536146,0.4825842676511766,0.39231162928457497,0.20690568653158437,0.6542381963765777,0.6384342372163396,0.5606937095123143,0.39398762643188745,1.0,0.9796886240254801,0.011375215097381559
priority_percentile,0.5131041031309379,0.36138213506669487,0.3586351547517897,0.44190876202527457,0.0655151010534378,-0.07171848693689428,-0.4585124550925362,-0.45184951980754245,0.0073144167070096485,0.003071374917149645,0.18219268773453223,-0.013434540665829001,0.0073030366810481855,0.24901032023534694,0.5086823956471885,0.5039799242522619,0.4858334444203699,0.39076421116089793,0.2048151731080148,0.6550978226055444,0.6244856608200339,0.5306129045456277,0.3856159862819972,0.9796886240254801,1.0,0.010342854607504058
lead_is_converted,-0.0020554910681022244,0.004673887954256843,-0.007621880460000671,0.0010632503512266246,0.013715276502974032,-0.006091715809747964,-0.007609793213919388,-0.007818811488001492,0.007215826896535398,-0.007646331680560375,0.005790068156754355,0.005232680008268977,0.0021443830571367083,0.002688759468951459,0.0058625481187450645,0.004540349693291719,0.012287695091258216,0.00797348507748982,0.008680784122585833,0.016524943872577667,0.0016918160241899498,0.0016467555428819392,-0.004071513277933116,0.011375215097381559,0.010342854607504058,1.0
