status,lead_source,owner_role,priority_bucket,recommended_action,lead_is_converted,xai_probability,reason_1,reason_2,reason_3,xai_summary
Working,Partner Referral,BDR,Warm,Follow up within 48 hours,0,0.43986094789715263,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Working,Event,BDR,Cold,Add to nurture campaign,1,0.5853089750985476,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Working,Event,BDR,Cool,Nurture and monitor,0,0.4158299274715078,Lower days since last task created increased priority,Higher task created recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and owner = role_bdr."
Nurturing,Event,SDR,Cold,Add to nurture campaign,1,0.36542270288549306,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Inbound,AE,Cool,Nurture and monitor,1,0.6381077008583625,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Web,BDR,Warm,Follow up within 48 hours,1,0.41277972867867996,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Web,BDR,Hot,Contact today,1,0.47338007572444335,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Outbound,SDR,Warm,Follow up within 48 hours,1,0.5499075471785996,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Partner Referral,SDR,Cold,Add to nurture campaign,1,0.6021533789741772,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Partner Referral,SDR,Warm,Follow up within 48 hours,0,0.48978937224418845,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Working,Web,SDR,Warm,Follow up within 48 hours,0,0.3727386242159699,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Nurturing,Outbound,SDR,Cool,Nurture and monitor,0,0.44597314001262056,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Inbound,BDR,Warm,Follow up within 48 hours,1,0.4671810705881744,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Qualified,Event,AE,Warm,Follow up within 48 hours,1,0.4315401791554105,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Outbound,SDR,Cold,Add to nurture campaign,1,0.3913310649318216,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Open,Outbound,BDR,Hot,Contact today,0,0.523214095036612,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Qualified,Outbound,BDR,Warm,Follow up within 48 hours,0,0.45960250956862264,Higher task created recency increased priority,Lower days since last task created increased priority,Owner = role_BDR,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and owner = role_bdr."
Nurturing,Web,SDR,Cool,Nurture and monitor,1,0.3955916566066407,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Open,Inbound,BDR,Hot,Contact today,0,0.4972515067844511,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Trade Show,BDR,Warm,Follow up within 48 hours,0,0.46133851023774947,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Event,SDR,Cool,Nurture and monitor,1,0.4924423962064602,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Working,Inbound,SDR,Cool,Nurture and monitor,0,0.5098179637710499,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Inbound,BDR,Cool,Nurture and monitor,1,0.5606855809528621,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Trade Show,SDR,Warm,Follow up within 48 hours,1,0.46830039146898866,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Open,Trade Show,BDR,Hot,Contact today,1,0.5835710964287313,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Working,Outbound,BDR,Cool,Nurture and monitor,0,0.5387578274666056,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Working,Event,SDR,Cold,Add to nurture campaign,0,0.4635154901279891,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task ratio increased priority."
Qualified,Partner Referral,BDR,Warm,Follow up within 48 hours,0,0.45589266339892565,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Nurturing,Inbound,AE,Cool,Nurture and monitor,1,0.50602048083232,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task ratio increased priority."
Nurturing,Outbound,SDR,Cool,Nurture and monitor,0,0.3674932264551908,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Open,Web,SDR,Hot,Contact today,0,0.5514632961252017,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Working,Trade Show,SDR,Cool,Nurture and monitor,1,0.49053305771768896,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Event,SDR,Cold,Add to nurture campaign,1,0.409261009596054,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Inbound,BDR,Cool,Nurture and monitor,1,0.6024010562276301,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Inbound,BDR,Hot,Contact today,1,0.5835888515018282,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher task intensity per owner day increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher task intensity per owner day increased priority."
Open,Web,SDR,Hot,Contact today,0,0.5475071200586513,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Outbound,BDR,Warm,Follow up within 48 hours,1,0.5706515665536127,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Working,Event,BDR,Warm,Follow up within 48 hours,0,0.48036959088860076,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Nurturing,Trade Show,SDR,Cold,Add to nurture campaign,1,0.4560260849970227,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Web,BDR,Warm,Follow up within 48 hours,0,0.5697903395885257,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Open,Trade Show,BDR,Hot,Contact today,0,0.5035654565975101,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Trade Show,BDR,Hot,Contact today,0,0.5585120846185702,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Working,Web,BDR,Hot,Contact today,1,0.5409380066962233,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Partner Referral,AE,Warm,Follow up within 48 hours,0,0.5315562069135775,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Open,Event,SDR,Warm,Follow up within 48 hours,0,0.48147837229107077,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Partner Referral,SDR,Cold,Add to nurture campaign,1,0.39797121685657305,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Qualified,Inbound,SDR,Cold,Add to nurture campaign,1,0.4634947572475393,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Qualified,Event,SDR,Cool,Nurture and monitor,0,0.37241184566612345,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Trade Show,SDR,Hot,Contact today,1,0.4755619250559347,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Nurturing,Inbound,BDR,Cold,Add to nurture campaign,1,0.37645836905978114,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Partner Referral,BDR,Warm,Follow up within 48 hours,1,0.5125156316640819,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Inbound,SDR,Hot,Contact today,1,0.47309817963407436,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Outbound,BDR,Hot,Contact today,0,0.455747519234554,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Web,AE,Hot,Contact today,1,0.7867714736694523,Lower days since last task created increased priority,Higher task created recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and lead = source_web."
Qualified,Outbound,BDR,Hot,Contact today,0,0.49883160455098663,Higher task created recency increased priority,Lower days since last task created increased priority,Owner = role_BDR,"This lead is ranked higher because higher task created recency increased priority, lower days since last task created increased priority, and owner = role_bdr."
Open,Event,BDR,Hot,Contact today,1,0.4132545134251464,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Working,Outbound,BDR,Cold,Add to nurture campaign,0,0.5306766354720436,Higher task created recency increased priority,Higher closed task count increased priority,Lower days since last task created increased priority,"This lead is ranked higher because higher task created recency increased priority, higher closed task count increased priority, and lower days since last task created increased priority."
Qualified,Inbound,SDR,Cool,Nurture and monitor,1,0.6026335806578994,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Partner Referral,BDR,Hot,Contact today,0,0.5832880125911346,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Open,Event,BDR,Cool,Nurture and monitor,1,0.4899113019701232,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Trade Show,AE,Cool,Nurture and monitor,0,0.43434744642899414,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Open,Trade Show,SDR,Warm,Follow up within 48 hours,1,0.49056542963249844,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Partner Referral,SDR,Warm,Follow up within 48 hours,0,0.5525241971689704,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Outbound,BDR,Cold,Add to nurture campaign,1,0.5989089235580162,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Working,Inbound,AE,Cold,Add to nurture campaign,0,0.5977376215342564,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher closed task count increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher closed task count increased priority."
Working,Inbound,SDR,Cold,Add to nurture campaign,0,0.5700980969316966,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Qualified,Event,BDR,Cool,Nurture and monitor,1,0.5460061629625833,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Outbound,AE,Hot,Contact today,0,0.5921540438477193,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Qualified,Inbound,BDR,Warm,Follow up within 48 hours,0,0.41043665562368564,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Working,Inbound,SDR,Cool,Nurture and monitor,0,0.49950622850184834,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Qualified,Web,BDR,Hot,Contact today,0,0.5341445517064249,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Nurturing,Inbound,BDR,Cool,Nurture and monitor,0,0.5909551929572263,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Open,Partner Referral,SDR,Hot,Contact today,1,0.5290532809895112,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Qualified,Inbound,SDR,Cool,Nurture and monitor,1,0.5460156940955743,Lower days since last task created increased priority,Higher task created recency increased priority,Higher task velocity increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher task velocity increased priority."
Working,Outbound,SDR,Cold,Add to nurture campaign,0,0.4850065365897499,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Working,Trade Show,AE,Cool,Nurture and monitor,0,0.4711317533664371,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Open,Partner Referral,SDR,Hot,Contact today,1,0.547929503711079,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Working,Trade Show,BDR,Warm,Follow up within 48 hours,1,0.48422304520828596,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Qualified,Trade Show,AE,Cool,Nurture and monitor,1,0.43807580640489424,Lower days since last task created increased priority,Higher task created recency increased priority,Higher task velocity increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher task velocity increased priority."
Open,Event,SDR,Hot,Contact today,0,0.40477511999017834,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher task intensity per owner day increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher task intensity per owner day increased priority."
Open,Partner Referral,AE,Hot,Contact today,0,0.608402037187434,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Open,Outbound,BDR,Cool,Nurture and monitor,1,0.43396652962047033,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Qualified,Event,SDR,Cold,Add to nurture campaign,1,0.5311870872159014,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Qualified,Web,BDR,Hot,Contact today,0,0.4443796740705132,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Event,SDR,Cool,Nurture and monitor,1,0.5074261946059453,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Web,BDR,Hot,Contact today,1,0.4255800625389979,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Qualified,Web,BDR,Hot,Contact today,1,0.539757851371529,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Event,BDR,Warm,Follow up within 48 hours,0,0.5537286067902434,Higher task created recency increased priority,Lower days since last task activity increased priority,Higher task velocity increased priority,"This lead is ranked higher because higher task created recency increased priority, lower days since last task activity increased priority, and higher task velocity increased priority."
Working,Event,SDR,Cold,Add to nurture campaign,1,0.49673601765145364,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Working,Web,BDR,Hot,Contact today,1,0.5263467906784891,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Event,BDR,Cold,Add to nurture campaign,0,0.4571361935664912,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Nurturing,Partner Referral,SDR,Cold,Add to nurture campaign,0,0.5685525185571697,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Event,AE,Cold,Add to nurture campaign,1,0.5922481131208044,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Qualified,Event,SDR,Cool,Nurture and monitor,0,0.46609699453982223,Lower days since last task created increased priority,Higher task created recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher open task count increased priority."
Qualified,Event,BDR,Cool,Nurture and monitor,0,0.533644880745517,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Qualified,Partner Referral,AE,Cool,Nurture and monitor,1,0.6051715320108993,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Partner Referral,BDR,Hot,Contact today,1,0.47124418700481274,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Event,SDR,Cool,Nurture and monitor,1,0.5056373517838086,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Qualified,Event,BDR,Warm,Follow up within 48 hours,0,0.5091976498449918,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
Nurturing,Web,SDR,Warm,Follow up within 48 hours,0,0.5385760818060019,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
Open,Outbound,BDR,Hot,Contact today,0,0.524595939364701,Lower days since last task activity increased priority,Higher task activity recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and owner = role_bdr."
