status,lead_source,lead_owner_id,owner_role,owner_department,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_age_bucket,owner_tenure_bucket,task_count_bucket
Working,Trade Show,005scUETCztHB2VpGr,SDR,Sales,6,3,3,1,786,768,-407.0,-412.0,1,0.5,0.5,0.16666666666666666,0.007623888182973317,0.0012706480304955528,0.007802340702210663,1.0,1.0,730_plus,730_plus,6_10
Working,Trade Show,005H18uJWTVdyNheWe,BDR,Sales,1,1,0,1,84,31,1142.0,1120.0,0,1.0,0.0,1.0,0.011764705882352941,0.011764705882352941,0.03125,0.0008920606601248885,0.0008748906386701663,31_90,31_90,1_2
Nurturing,Trade Show,005YJKL1sxnz5KucCa,SDR,Sales,3,3,0,0,11,651,183.0,159.0,1,1.0,0.0,0.0,0.25,0.0,0.004601226993865031,0.00625,0.005434782608695652,0_30,366_730,3_5
Open,Partner Referral,0051FeBviD8WOpEx9p,SDR,Sales,3,2,1,0,1,-3,43.0,25.0,0,0.6666666666666666,0.3333333333333333,0.0,1.5,0.0,-1.5,0.038461538461538464,0.022727272727272728,0_30,,3_5
Nurturing,Trade Show,005PsOTr02Fp2pwCFZ,BDR,Sales,5,3,2,0,240,452,-96.0,-117.0,0,0.6,0.4,0.0,0.02074688796680498,0.0,0.011037527593818985,1.0,1.0,181_365,366_730,3_5
Open,Trade Show,005kGz3iLXUMdHQq3f,SDR,Sales,9,3,6,2,526,470,-425.0,-432.0,1,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.017077798861480076,0.003795066413662239,0.01910828025477707,1.0,1.0,366_730,366_730,6_10
Open,Inbound,005PcnSwvycOiPT9zy,SDR,Sales,3,2,1,0,155,721,477.0,458.0,0,0.6666666666666666,0.3333333333333333,0.0,0.019230769230769232,0.0,0.004155124653739612,0.002178649237472767,0.0020920502092050207,91_180,366_730,3_5
Working,Partner Referral,005Fg6NzJiUZlow1pr,BDR,Sales,1,1,0,1,127,1106,978.0,977.0,1,1.0,0.0,1.0,0.0078125,0.0078125,0.0009033423667570009,0.0010224948875255625,0.0010214504596527069,91_180,730_plus,1_2
Working,Inbound,00566La41L76C1ZyfL,SDR,Sales,1,0,1,1,643,806,687.0,665.0,1,0.0,1.0,1.0,0.0015527950310559005,0.0015527950310559005,0.0012391573729863693,0.0015015015015015015,0.0014534883720930232,366_730,730_plus,1_2
Nurturing,Trade Show,005U1cnD3W8AfIM0Y9,BDR,Sales,3,3,0,3,548,518,-135.0,-142.0,1,1.0,0.0,1.0,0.00546448087431694,0.00546448087431694,0.005780346820809248,1.0,1.0,366_730,366_730,3_5
Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,SDR,Sales,1,1,0,1,1425,-223,-1416.0,-1418.0,1,1.0,0.0,1.0,0.0007012622720897616,0.0007012622720897616,-0.0045045045045045045,1.0,1.0,730_plus,,1_2
Nurturing,Event,005Fg6NzJiUZlow1pr,BDR,Sales,9,4,5,3,1049,184,-570.0,-576.0,1,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.008571428571428572,0.002857142857142857,0.04864864864864865,1.0,1.0,730_plus,181_365,6_10
Open,Outbound,005T3CcQW30Fc3HxzP,BDR,Sales,0,0,0,0,712,-367,,,1,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,366_730,,0
Open,Trade Show,005wBTdruibiY0OPdW,AE,Sales,2,0,2,2,434,-201,-338.0,-354.0,1,0.0,1.0,1.0,0.004597701149425287,0.004597701149425287,-0.01,1.0,1.0,366_730,,1_2
Working,Web,005w1rZfJkoRoaYcEo,BDR,Sales,3,2,1,1,1090,453,-251.0,-256.0,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.002749770852428964,0.0009165902841429881,0.006607929515418502,1.0,1.0,730_plus,366_730,3_5
Qualified,Partner Referral,0052vuTGNhPaf9DJtR,SDR,Sales,4,1,3,2,556,-450,-354.0,-369.0,1,0.25,0.75,0.5,0.00718132854578097,0.003590664272890485,-0.008908685968819599,1.0,1.0,366_730,,3_5
Open,Outbound,005nz6ixedb0ulRU2P,BDR,Sales,4,4,0,3,251,1366,131.0,115.0,0,1.0,0.0,0.75,0.015873015873015872,0.011904761904761904,0.002926115581565472,0.008620689655172414,0.007575757575757576,181_365,730_plus,3_5
Qualified,Inbound,005ponU3oUJcEecoTy,AE,Sales,3,2,1,1,1342,-864,-1260.0,-1279.0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0022338049143708115,0.0007446016381236039,-0.0034762456546929316,1.0,1.0,730_plus,,3_5
Qualified,Event,005BLRswT6VWAL3Jkq,BDR,Sales,4,2,2,1,1124,-388,-771.0,-792.0,0,0.5,0.5,0.25,0.0035555555555555557,0.0008888888888888889,-0.0103359173126615,1.0,1.0,730_plus,,3_5
Qualified,Trade Show,005SW3xD3pVRHzXb4Z,SDR,Sales,6,4,2,4,147,1291,-163.0,-174.0,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.04054054054054054,0.02702702702702703,0.0046439628482972135,1.0,1.0,91_180,730_plus,6_10
Working,Web,005EF1FFbGvvXzIjDl,SDR,Sales,4,2,2,1,318,748,73.0,51.0,0,0.5,0.5,0.25,0.012539184952978056,0.003134796238244514,0.0053404539385847796,0.019230769230769232,0.013513513513513514,181_365,730_plus,3_5
Nurturing,Inbound,005aV0dZauGUbUqQX9,SDR,Sales,4,3,1,1,1006,-778,-985.0,-1013.0,0,0.75,0.25,0.25,0.003972194637537239,0.0009930486593843098,-0.005148005148005148,1.0,1.0,730_plus,,3_5
Nurturing,Web,005SotgxabsZFoiinJ,BDR,Sales,6,3,3,1,271,213,-113.0,-135.0,1,0.5,0.5,0.16666666666666666,0.022058823529411766,0.003676470588235294,0.028037383177570093,1.0,1.0,181_365,181_365,6_10
Nurturing,Event,005ZgXPYFXOBU7G1tp,BDR,Sales,7,4,3,2,468,134,-182.0,-200.0,1,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.014925373134328358,0.0042643923240938165,0.05185185185185185,1.0,1.0,366_730,91_180,6_10
Open,Inbound,005Cu36WnbRoy8DEqo,SDR,Sales,4,0,4,1,763,-16,-621.0,-642.0,0,0.0,1.0,0.25,0.005235602094240838,0.0013089005235602095,-0.26666666666666666,1.0,1.0,730_plus,,3_5
Qualified,Inbound,005Jf9CIg9lV3G32cG,BDR,Sales,2,1,1,0,807,186,-27.0,-48.0,0,0.5,0.5,0.0,0.0024752475247524753,0.0,0.0106951871657754,1.0,1.0,730_plus,181_365,1_2
Working,Partner Referral,005r9q3iIp3WHLiZhI,SDR,Sales,2,1,1,0,1195,211,-796.0,-808.0,1,0.5,0.5,0.0,0.0016722408026755853,0.0,0.009433962264150943,1.0,1.0,730_plus,181_365,1_2
Open,Partner Referral,005mzHykyCWibqXEgp,BDR,Sales,2,2,0,1,698,-84,-434.0,-458.0,0,1.0,0.0,0.5,0.002861230329041488,0.001430615164520744,-0.024096385542168676,1.0,1.0,366_730,,1_2
Qualified,Partner Referral,005H18uJWTVdyNheWe,BDR,Sales,7,5,2,4,539,-424,73.0,66.0,1,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.012962962962962963,0.007407407407407408,-0.016548463356973995,0.014925373134328358,0.013513513513513514,366_730,,6_10
Open,Trade Show,005mm9vtHx0K9TGlB7,SDR,Sales,4,1,3,4,329,225,-211.0,-213.0,1,0.25,0.75,1.0,0.012121212121212121,0.012121212121212121,0.017699115044247787,1.0,1.0,181_365,181_365,3_5
Qualified,Trade Show,005vvizm5OfORbfBYV,SDR,Sales,3,2,1,1,1037,248,-774.0,-790.0,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.002890173410404624,0.0009633911368015414,0.012048192771084338,1.0,1.0,730_plus,181_365,3_5
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,Sales,3,1,2,2,1412,-231,-1117.0,-1135.0,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0021231422505307855,0.0014154281670205238,-0.013043478260869565,1.0,1.0,730_plus,,3_5
Open,Web,005EhkAnpKcWuNovJ6,BDR,Sales,2,1,1,0,280,479,-140.0,-163.0,0,0.5,0.5,0.0,0.0071174377224199285,0.0,0.004166666666666667,1.0,1.0,181_365,366_730,1_2
Open,Trade Show,005voBFvhNYadVKXTu,BDR,Sales,4,2,2,2,1409,-829,-1166.0,-1172.0,1,0.5,0.5,0.5,0.0028368794326241137,0.0014184397163120568,-0.004830917874396135,1.0,1.0,730_plus,,3_5
Working,Trade Show,005GkgNJqeO2GW2jXH,SDR,Sales,3,2,1,0,449,1028,-63.0,-81.0,1,0.6666666666666666,0.3333333333333333,0.0,0.006666666666666667,0.0,0.0029154518950437317,1.0,1.0,366_730,730_plus,3_5
Qualified,Partner Referral,0050fGb9Xo51dtJbLu,AE,Sales,6,3,3,2,545,439,-339.0,-366.0,0,0.5,0.5,0.3333333333333333,0.01098901098901099,0.003663003663003663,0.013636363636363636,1.0,1.0,366_730,366_730,6_10
Working,Outbound,005bo0fFeWaVUqG2KV,SDR,Sales,7,5,2,5,48,711,21.0,-5.0,1,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.10204081632653061,0.009831460674157303,1.0,0.045454545454545456,31_90,366_730,6_10
Open,Partner Referral,005d2TMY2eGPYkWkSs,AE,Sales,5,3,2,1,1065,-545,-1034.0,-1045.0,1,0.6,0.4,0.2,0.004690431519699813,0.0009380863039399625,-0.009191176470588236,1.0,1.0,730_plus,,3_5
Open,Outbound,005SotgxabsZFoiinJ,BDR,Sales,2,2,0,1,504,-20,-408.0,-410.0,0,1.0,0.0,0.5,0.0039603960396039604,0.0019801980198019802,-0.10526315789473684,1.0,1.0,366_730,,1_2
Working,Trade Show,005r8kcdxSxYgha9K0,SDR,Sales,1,1,0,0,812,-488,388.0,384.0,1,1.0,0.0,0.0,0.0012300123001230013,0.0,-0.002053388090349076,0.0025974025974025974,0.002570694087403599,730_plus,,1_2
Working,Web,005aABhuRiSBg0srbz,SDR,Sales,4,1,3,2,413,-130,-400.0,-419.0,0,0.25,0.75,0.5,0.00966183574879227,0.004830917874396135,-0.031007751937984496,1.0,1.0,366_730,,3_5
Nurturing,Web,005O8TxStNstfUeWj7,BDR,Sales,7,4,3,1,694,850,-646.0,-661.0,0,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.010071942446043165,0.0014388489208633094,0.008225616921269096,1.0,1.0,366_730,730_plus,6_10
Qualified,Inbound,005g4fdGzuew1U6NXU,SDR,Sales,5,3,2,0,1090,-327,-907.0,-932.0,1,0.6,0.4,0.0,0.00458295142071494,0.0,-0.015337423312883436,1.0,1.0,730_plus,,3_5
Working,Inbound,005gXBXTL8NV8xfMOI,BDR,Sales,5,2,3,2,1362,-1129,-1368.0,-1383.0,1,0.4,0.6,0.4,0.003668378576669112,0.001467351430667645,-0.004432624113475178,1.0,1.0,730_plus,,3_5
Nurturing,Outbound,005sbu92PDPF7bHdnm,BDR,Sales,7,2,5,1,106,-78,49.0,39.0,0,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.06542056074766354,0.009345794392523364,-0.09090909090909091,0.025,0.02,91_180,,6_10
Nurturing,Inbound,005F4DJKwnDrFRcqbf,BDR,Sales,6,4,2,1,463,696,-421.0,-430.0,1,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.01293103448275862,0.0021551724137931034,0.00860832137733142,1.0,1.0,366_730,366_730,6_10
Working,Web,005gYdlj9yv5Cc6zkp,BDR,Sales,6,2,4,2,989,-688,-948.0,-974.0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.006060606060606061,0.00202020202020202,-0.008733624454148471,1.0,1.0,730_plus,,6_10
Open,Web,005chtXE6kHD1j5gMk,BDR,Sales,3,0,3,0,824,191,-447.0,-453.0,1,0.0,1.0,0.0,0.0036363636363636364,0.0,0.015625,1.0,1.0,730_plus,181_365,3_5
Working,Outbound,005a88RCsXNcc8P2XG,BDR,Sales,5,3,2,0,702,618,-696.0,-710.0,1,0.6,0.4,0.0,0.007112375533428165,0.0,0.008077544426494346,1.0,1.0,366_730,366_730,3_5
Nurturing,Outbound,005ITUm8sMeUL9Z9US,AE,Sales,3,2,1,2,1381,40,-808.0,-823.0,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.002170767004341534,0.001447178002894356,0.07317073170731707,1.0,1.0,730_plus,31_90,3_5
Working,Event,005uzGGUX4TIYx0w3I,AE,Sales,1,0,1,0,1226,3,246.0,228.0,1,0.0,1.0,0.0,0.0008149959250203749,0.0,0.25,0.004366812227074236,0.004048582995951417,730_plus,0_30,1_2
Qualified,Trade Show,005M1BnJPIeqHk8Nds,SDR,Sales,0,0,0,0,254,186,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181_365,181_365,0
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,Sales,4,3,1,0,778,403,-631.0,-659.0,1,0.75,0.25,0.0,0.005134788189987163,0.0,0.009900990099009901,1.0,1.0,730_plus,366_730,3_5
Open,Inbound,005w1rZfJkoRoaYcEo,BDR,Sales,3,3,0,2,225,1318,48.0,37.0,0,1.0,0.0,0.6666666666666666,0.01327433628318584,0.008849557522123894,0.002274450341167551,0.02631578947368421,0.02040816326530612,181_365,730_plus,3_5
Nurturing,Trade Show,005vvizm5OfORbfBYV,SDR,Sales,7,5,2,4,87,1198,-76.0,-82.0,1,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.07954545454545454,0.045454545454545456,0.005838198498748957,1.0,1.0,31_90,730_plus,6_10
Qualified,Partner Referral,005CyM4CU7TgZ0ieQC,BDR,Sales,5,1,4,2,847,611,-733.0,-740.0,0,0.2,0.8,0.4,0.00589622641509434,0.0023584905660377358,0.008169934640522876,1.0,1.0,730_plus,366_730,3_5
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,Sales,6,4,2,2,38,1143,-16.0,-17.0,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.05128205128205128,0.005244755244755245,1.0,1.0,31_90,730_plus,6_10
Working,Trade Show,005IAWyyPlUBLQDIva,SDR,Sales,1,0,1,0,999,-6,285.0,278.0,0,0.0,1.0,0.0,0.001,0.0,-0.2,0.0035842293906810036,0.0034965034965034965,730_plus,,1_2
Nurturing,Outbound,005k1Pfjp8rVQw0f9u,BDR,Sales,1,1,0,0,1402,-172,-563.0,-566.0,0,1.0,0.0,0.0,0.0007127583749109052,0.0,-0.005847953216374269,1.0,1.0,730_plus,,1_2
Working,Outbound,005oRycfOWj8YbLrlq,AE,Sales,7,4,3,1,803,-109,-790.0,-807.0,1,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.008706467661691543,0.0012437810945273632,-0.06481481481481481,1.0,1.0,730_plus,,6_10
Nurturing,Trade Show,005eP2OT2tJzd6Dja9,BDR,Sales,1,0,1,0,729,40,-519.0,-544.0,1,0.0,1.0,0.0,0.0013698630136986301,0.0,0.024390243902439025,1.0,1.0,366_730,31_90,1_2
Working,Web,005XZUpRP9HBvLfhY6,BDR,Sales,6,2,4,4,1108,-42,-1091.0,-1113.0,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.005410279531109108,0.0036068530207394047,-0.14634146341463414,1.0,1.0,730_plus,,6_10
Nurturing,Partner Referral,005Cu36WnbRoy8DEqo,SDR,Sales,3,1,2,1,545,202,-73.0,-88.0,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.005494505494505495,0.0018315018315018315,0.014778325123152709,1.0,1.0,366_730,181_365,3_5
Working,Partner Referral,005JwwpEL8xofdwkwl,SDR,Sales,4,1,3,3,122,713,283.0,253.0,1,0.25,0.75,0.75,0.032520325203252036,0.024390243902439025,0.0056022408963585435,0.003937007874015748,0.0035211267605633804,91_180,366_730,3_5
Qualified,Event,005CyM4CU7TgZ0ieQC,BDR,Sales,2,1,1,0,39,1419,95.0,83.0,0,0.5,0.5,0.0,0.05,0.0,0.0014084507042253522,0.011904761904761904,0.010416666666666666,31_90,730_plus,1_2
Working,Web,005bZBvn4MclbYAtNN,SDR,Sales,1,1,0,1,518,-32,164.0,148.0,0,1.0,0.0,1.0,0.0019267822736030828,0.0019267822736030828,-0.03225806451612903,0.006711409395973154,0.006060606060606061,366_730,,1_2
Working,Trade Show,005XY6JL792Cjz6tvp,BDR,Sales,2,1,1,1,962,-188,-362.0,-378.0,0,0.5,0.5,0.5,0.0020768431983385254,0.0010384215991692627,-0.0106951871657754,1.0,1.0,730_plus,,1_2
Qualified,Inbound,005XY6JL792Cjz6tvp,BDR,Sales,3,1,2,3,1142,-368,-1091.0,-1111.0,0,0.3333333333333333,0.6666666666666666,1.0,0.0026246719160104987,0.0026246719160104987,-0.008174386920980926,1.0,1.0,730_plus,,3_5
Working,Outbound,005dJm5gIU7nUKZnv1,AE,Sales,6,4,2,0,1348,-820,-1259.0,-1262.0,1,0.6666666666666666,0.3333333333333333,0.0,0.004447739065974796,0.0,-0.007326007326007326,1.0,1.0,730_plus,,6_10
Open,Inbound,005mzHykyCWibqXEgp,BDR,Sales,4,3,1,3,65,549,846.0,837.0,1,0.75,0.25,0.75,0.06060606060606061,0.045454545454545456,0.007272727272727273,0.0011933174224343676,0.0011806375442739079,31_90,366_730,3_5
Working,Inbound,005SW3xD3pVRHzXb4Z,SDR,Sales,6,3,3,2,1450,-12,-1309.0,-1311.0,0,0.5,0.5,0.3333333333333333,0.004135079255685734,0.0013783597518952446,-0.5454545454545454,1.0,1.0,730_plus,,6_10
Qualified,Outbound,005FA8TcXwRGIFLbcj,SDR,Sales,6,3,3,0,1202,-150,-1022.0,-1035.0,0,0.5,0.5,0.0,0.004987531172069825,0.0,-0.040268456375838924,1.0,1.0,730_plus,,6_10
Nurturing,Web,005sbu92PDPF7bHdnm,BDR,Sales,6,2,4,1,1370,-1342,-978.0,-998.0,1,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.00437636761487965,0.0007293946024799417,-0.0044742729306487695,1.0,1.0,730_plus,,6_10
Qualified,Inbound,005v0k6ScHdsTsZ8Rg,AE,Sales,2,2,0,0,399,622,769.0,766.0,0,1.0,0.0,0.0,0.005,0.0,0.0032102728731942215,0.001303780964797914,0.0012987012987012987,366_730,366_730,1_2
Qualified,Trade Show,005YgcwjR0nrnHIGZX,SDR,Sales,7,1,6,3,54,1489,97.0,71.0,1,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.12727272727272726,0.05454545454545454,0.004697986577181208,0.013888888888888888,0.01020408163265306,31_90,730_plus,6_10
Qualified,Event,005mYnZlHWW2dnL0rt,BDR,Sales,3,1,2,3,637,918,109.0,108.0,1,0.3333333333333333,0.6666666666666666,1.0,0.004702194357366771,0.004702194357366771,0.003264417845484222,0.009174311926605505,0.00909090909090909,366_730,730_plus,3_5
Qualified,Inbound,005RYrmmC3EMzwluqj,BDR,Sales,2,1,1,1,191,169,-137.0,-161.0,1,0.5,0.5,0.5,0.010416666666666666,0.005208333333333333,0.011764705882352941,1.0,1.0,181_365,91_180,1_2
Open,Web,005T3CcQW30Fc3HxzP,BDR,Sales,4,1,3,2,420,-75,-400.0,-416.0,0,0.25,0.75,0.5,0.009501187648456057,0.004750593824228029,-0.05405405405405406,1.0,1.0,366_730,,3_5
Qualified,Outbound,005BLRswT6VWAL3Jkq,BDR,Sales,6,2,4,2,747,-11,-45.0,-53.0,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.008021390374331552,0.00267379679144385,-0.6,1.0,1.0,730_plus,,6_10
Nurturing,Inbound,005tRa1eePdjJYM6mg,BDR,Sales,1,0,1,1,739,705,207.0,196.0,1,0.0,1.0,1.0,0.0013513513513513514,0.0013513513513513514,0.00141643059490085,0.005076142131979695,0.004807692307692308,730_plus,366_730,1_2
Nurturing,Trade Show,005sbu92PDPF7bHdnm,BDR,Sales,2,1,1,0,1243,-1215,-891.0,-896.0,0,0.5,0.5,0.0,0.001607717041800643,0.0,-0.0016474464579901153,1.0,1.0,730_plus,,1_2
Nurturing,Web,005SzPtEFRJYtyoJvY,BDR,Sales,2,1,1,1,107,457,84.0,76.0,1,0.5,0.5,0.5,0.018518518518518517,0.009259259259259259,0.004366812227074236,0.012987012987012988,0.011764705882352941,91_180,366_730,1_2
Nurturing,Event,005RpFPjmmumSx8sB2,AE,Sales,5,1,4,3,1233,417,-969.0,-995.0,1,0.2,0.8,0.6,0.004051863857374392,0.0024311183144246355,0.011961722488038277,1.0,1.0,730_plus,366_730,3_5
Nurturing,Web,005RNwgHWbHSrrlfhq,BDR,Sales,6,4,2,1,409,138,-336.0,-365.0,1,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.014634146341463415,0.0024390243902439024,0.04316546762589928,1.0,1.0,366_730,91_180,6_10
Qualified,Event,005GkgNJqeO2GW2jXH,SDR,Sales,7,3,4,1,1040,437,-741.0,-770.0,0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0067243035542747355,0.0009606147934678194,0.01598173515981735,1.0,1.0,730_plus,366_730,6_10
Working,Event,005VLfsfX7zhRzFubF,SDR,Sales,1,1,0,0,381,416,762.0,740.0,0,1.0,0.0,0.0,0.002617801047120419,0.0,0.002398081534772182,0.001349527665317139,0.001310615989515072,366_730,366_730,1_2
Open,Event,0059wV9ybGAGQOgvhj,BDR,Sales,1,0,1,1,100,1004,458.0,431.0,0,0.0,1.0,1.0,0.009900990099009901,0.009900990099009901,0.0009950248756218905,0.0023148148148148147,0.002178649237472767,91_180,730_plus,1_2
Open,Web,005iRmiKUtSSkR82g5,BDR,Sales,3,0,3,2,382,925,-52.0,-70.0,0,0.0,1.0,0.6666666666666666,0.007832898172323759,0.005221932114882507,0.0032397408207343412,1.0,1.0,366_730,730_plus,3_5
Qualified,Trade Show,005FmC4bvUmQBFO9r1,BDR,Sales,3,1,2,1,768,910,-333.0,-342.0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0039011703511053317,0.0013003901170351106,0.003293084522502744,1.0,1.0,730_plus,730_plus,3_5
Qualified,Trade Show,005RNwgHWbHSrrlfhq,BDR,Sales,3,0,3,0,1264,-717,-1046.0,-1047.0,1,0.0,1.0,0.0,0.0023715415019762848,0.0,-0.004189944134078212,1.0,1.0,730_plus,,3_5
Qualified,Event,005ZhFZ3TvVOVxKEgo,SDR,Sales,1,1,0,0,48,101,852.0,829.0,1,1.0,0.0,0.0,0.02040816326530612,0.0,0.00980392156862745,0.0012048192771084338,0.0011723329425556857,31_90,91_180,1_2
Open,Event,005YgcwjR0nrnHIGZX,SDR,Sales,0,0,0,0,1014,529,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730_plus,366_730,0
Working,Event,005lwhmSG1MSOXLTAt,SDR,Sales,3,2,1,2,1019,-10,-528.0,-543.0,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0029411764705882353,0.00196078431372549,-0.3333333333333333,1.0,1.0,730_plus,,3_5
Working,Trade Show,005Cu36WnbRoy8DEqo,SDR,Sales,5,1,4,2,672,75,-31.0,-61.0,0,0.2,0.8,0.4,0.007429420505200594,0.0029717682020802376,0.06578947368421052,1.0,1.0,366_730,31_90,3_5
Nurturing,Partner Referral,005tcchhnKXX6SYaxV,SDR,Sales,4,3,1,1,636,670,506.0,477.0,1,0.75,0.25,0.25,0.006279434850863423,0.0015698587127158557,0.005961251862891207,0.0020920502092050207,0.0019723865877712033,366_730,366_730,3_5
Open,Trade Show,005mbGysH2pp4xju3N,SDR,Sales,2,2,0,0,0,796,157.0,140.0,0,1.0,0.0,0.0,2.0,0.0,0.002509410288582183,0.0070921985815602835,0.006329113924050633,0_30,730_plus,1_2
Working,Inbound,0052vuTGNhPaf9DJtR,SDR,Sales,5,5,0,3,259,-153,-208.0,-217.0,1,1.0,0.0,0.6,0.019230769230769232,0.011538461538461539,-0.03289473684210526,1.0,1.0,181_365,,3_5
Nurturing,Partner Referral,005EQtkoEfdgXDf2kK,AE,Sales,2,2,0,2,1196,-527,-476.0,-504.0,1,1.0,0.0,1.0,0.001670843776106934,0.001670843776106934,-0.0038022813688212928,1.0,1.0,730_plus,,1_2
Qualified,Outbound,005bo0fFeWaVUqG2KV,SDR,Sales,2,1,1,1,1066,-307,-473.0,-490.0,0,0.5,0.5,0.5,0.0018744142455482662,0.0009372071227741331,-0.006535947712418301,1.0,1.0,730_plus,,1_2
Open,Partner Referral,005T3CcQW30Fc3HxzP,BDR,Sales,3,3,0,1,399,-54,140.0,115.0,1,1.0,0.0,0.3333333333333333,0.0075,0.0025,-0.05660377358490566,0.008620689655172414,0.0070921985815602835,366_730,,3_5
