status,lead_source,lead_owner_id,owner_role,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day_clean,task_activity_recency_score,task_created_recency_score,priority_score,priority_bucket,engagement_score,urgency_score,activity_strength_score,recommended_action,lead_is_converted
Working,Trade Show,005scUETCztHB2VpGr,SDR,6,3,3,1,786,768,0.0,0.0,0.5,0.5,0.1666666666666666,0.0076238881829733,0.0012706480304955,0.007802340702210663,1.0,1.0,55.29596610398482,Warm,0.5391122448979592,0.5678927476838473,0.5651785714285714,Follow up within 48 hours,1
Working,Trade Show,005H18uJWTVdyNheWe,BDR,1,1,0,1,84,31,1142.0,1120.0,1.0,0.0,1.0,0.0117647058823529,0.0117647058823529,0.03125,0.0008920606601248,0.0008748906386701,43.47481931132144,Cool,0.5388112244897959,0.31615780924359443,0.35247619047619044,Nurture and monitor,0
Nurturing,Trade Show,005YJKL1sxnz5KucCa,SDR,3,3,0,0,11,651,183.0,159.0,1.0,0.0,0.0,0.25,0.0,0.004601226993865031,0.00625,0.0054347826086956,37.14182715233941,Cool,0.38007653061224483,0.4318698619940804,0.2590952380952381,Nurture and monitor,1
Open,Partner Referral,0051FeBviD8WOpEx9p,SDR,3,2,1,0,1,0,43.0,25.0,0.6666666666666666,0.3333333333333333,0.0,1.5,0.0,3.0,0.0384615384615384,0.0227272727272727,43.25634936688908,Cool,0.4027857142857143,0.48087831222963623,0.4345357142857143,Nurture and monitor,0
Nurturing,Trade Show,005PsOTr02Fp2pwCFZ,BDR,5,3,2,0,240,452,0.0,0.0,0.6,0.4,0.0,0.0207468879668049,0.0,0.011037527593818985,1.0,1.0,54.362054539358965,Warm,0.4967244897959184,0.6918927476838473,0.438452380952381,Follow up within 48 hours,0
Open,Trade Show,005kGz3iLXUMdHQq3f,SDR,9,3,6,2,526,470,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.01707779886148,0.0037950664136622,0.01910828025477707,1.0,1.0,64.44708855296439,Warm,0.616377551020408,0.6281546524457521,0.7391785714285715,Follow up within 48 hours,1
Open,Inbound,005PcnSwvycOiPT9zy,SDR,3,2,1,0,155,721,477.0,458.0,0.6666666666666666,0.3333333333333333,0.0,0.0192307692307692,0.0,0.004155124653739612,0.0021786492374727,0.002092050209205,32.22916914356769,Cool,0.34053061224489795,0.3387466812028232,0.25201190476190477,Nurture and monitor,0
Working,Partner Referral,005Fg6NzJiUZlow1pr,BDR,1,1,0,1,127,1106,978.0,977.0,1.0,0.0,1.0,0.0078125,0.0078125,0.0009033423667570009,0.0010224948875255,0.0010214504596527,39.31222446978055,Cool,0.5205357142857142,0.3099511331196693,0.1993452380952381,Nurture and monitor,1
Working,Inbound,00566La41L76C1ZyfL,SDR,1,0,1,1,643,806,687.0,665.0,0.0,1.0,1.0,0.0015527950310559,0.0015527950310559,0.0012391573729863693,0.0015015015015015,0.001453488372093,29.771755309700193,Cool,0.3905663265306122,0.20686860102628768,0.20186904761904764,Nurture and monitor,1
Nurturing,Trade Show,005U1cnD3W8AfIM0Y9,BDR,3,3,0,3,548,518,0.0,0.0,1.0,0.0,1.0,0.0054644808743169,0.0054644808743169,0.005780346820809248,1.0,1.0,62.558074947522215,Warm,0.6645663265306122,0.6229760810171806,0.5320238095238095,Follow up within 48 hours,1
Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,SDR,1,1,0,1,1425,0,0.0,0.0,1.0,0.0,1.0,0.0007012622720897,0.0007012622720897,1.0,1.0,1.0,45.87889127405283,Cool,0.5128469387755101,0.42132131911241877,0.3798452380952381,Nurture and monitor,1
Nurturing,Event,005Fg6NzJiUZlow1pr,BDR,9,4,5,3,1049,184,0.0,0.0,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.0085714285714285,0.0028571428571428,0.04864864864864865,1.0,1.0,61.93785385908684,Warm,0.6095357142857143,0.5084165572076569,0.8104285714285715,Follow up within 48 hours,1
Open,Outbound,005T3CcQW30Fc3HxzP,BDR,0,0,0,0,712,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.04164965986395,Cool,0.0739591836734694,0.8380119047619048,0.060166666666666674,Nurture and monitor,1
Open,Trade Show,005wBTdruibiY0OPdW,AE,2,0,2,2,434,0,0.0,0.0,0.0,1.0,1.0,0.0045977011494252,0.0045977011494252,2.0,1.0,1.0,62.8395885529644,Warm,0.6501989795918367,0.648107033398133,0.5443214285714285,Follow up within 48 hours,1
Working,Web,005w1rZfJkoRoaYcEo,BDR,3,2,1,1,1090,453,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0027497708524289,0.0009165902841429,0.006607929515418502,1.0,1.0,47.75730964139978,Cool,0.4972653061224489,0.49933322387432355,0.39570238095238097,Nurture and monitor,1
Qualified,Partner Referral,0052vuTGNhPaf9DJtR,SDR,4,1,3,2,556,0,0.0,0.0,0.25,0.75,0.5,0.0071813285457809,0.0035906642728904,4.0,1.0,1.0,65.36742868901881,Warm,0.6385153061224489,0.6212617953028949,0.7401904761904762,Follow up within 48 hours,1
Open,Outbound,005nz6ixedb0ulRU2P,BDR,4,4,0,3,251,1366,131.0,115.0,1.0,0.0,0.75,0.0158730158730158,0.0119047619047619,0.002926115581565472,0.0086206896551724,0.0075757575757575,52.179041689496685,Warm,0.5864591836734693,0.3914964009877581,0.5555595238095238,Follow up within 48 hours,0
Qualified,Inbound,005ponU3oUJcEecoTy,AE,3,2,1,1,1342,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0022338049143708,0.0007446016381236,3.0,1.0,1.0,48.04045589990317,Cool,0.47831632653061223,0.44032131911241873,0.5457500000000001,Nurture and monitor,0
Qualified,Event,005BLRswT6VWAL3Jkq,BDR,4,2,2,1,1124,0,0.0,0.0,0.5,0.5,0.25,0.0035555555555555,0.0008888888888888,4.0,1.0,1.0,52.379010321671885,Warm,0.4948469387755102,0.4915237000647997,0.644547619047619,Follow up within 48 hours,0
Qualified,Trade Show,005SW3xD3pVRHzXb4Z,SDR,6,4,2,4,147,1291,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0405405405405405,0.027027027027027,0.0046439628482972135,1.0,1.0,71.56826202235216,Warm,0.7259795918367348,0.7131665572076568,0.6937142857142856,Follow up within 48 hours,1
Working,Web,005EF1FFbGvvXzIjDl,SDR,4,2,2,1,318,748,73.0,51.0,0.5,0.5,0.25,0.012539184952978,0.0031347962382445,0.0053404539385847796,0.0192307692307692,0.0135135135135135,45.58729038286886,Cool,0.49375510204081635,0.3977226045990298,0.4483928571428572,Nurture and monitor,0
Nurturing,Inbound,005aV0dZauGUbUqQX9,SDR,4,3,1,1,1006,0,0.0,0.0,0.75,0.25,0.25,0.0039721946375372,0.0009930486593843,4.0,1.0,1.0,53.78355113799842,Warm,0.506780612244898,0.5184522714933711,0.644547619047619,Follow up within 48 hours,0
Nurturing,Web,005SotgxabsZFoiinJ,BDR,6,3,3,1,271,213,0.0,0.0,0.5,0.5,0.1666666666666666,0.0220588235294117,0.0036764705882352,0.028037383177570093,1.0,1.0,63.56344909718208,Warm,0.6117857142857143,0.6847498905409902,0.6215833333333333,Follow up within 48 hours,1
Nurturing,Event,005ZgXPYFXOBU7G1tp,BDR,7,4,3,2,468,134,0.0,0.0,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.0149253731343283,0.0042643923240938,0.05185185185185185,1.0,1.0,65.67977562779433,Warm,0.6298265306122449,0.6411546524457521,0.7476904761904762,Follow up within 48 hours,1
Open,Inbound,005Cu36WnbRoy8DEqo,SDR,4,0,4,1,763,0,0.0,0.0,0.0,1.0,0.25,0.0052356020942408,0.0013089005235602,4.0,1.0,1.0,56.67870419922289,Warm,0.5315765306122449,0.5736308429219426,0.644547619047619,Follow up within 48 hours,0
Qualified,Inbound,005Jf9CIg9lV3G32cG,BDR,2,1,1,0,807,186,0.0,0.0,0.5,0.5,0.0,0.0024752475247524,0.0,0.0106951871657754,1.0,1.0,41.93640828085555,Cool,0.40174489795918367,0.5627975095886092,0.2482619047619047,Nurture and monitor,0
Working,Partner Referral,005r9q3iIp3WHLiZhI,SDR,2,1,1,0,1195,211,0.0,0.0,0.5,0.5,0.0,0.0016722408026755,0.0,0.009433962264150943,1.0,1.0,38.469860661807935,Cool,0.3879591836734694,0.47499989054099023,0.2410952380952381,Nurture and monitor,1
Open,Partner Referral,005mzHykyCWibqXEgp,BDR,2,2,0,1,698,0,0.0,0.0,1.0,0.0,0.5,0.0028612303290414,0.0014306151645207,2.0,1.0,1.0,53.69525181827052,Warm,0.5412908163265306,0.5885713191124188,0.4486785714285714,Follow up within 48 hours,0
Qualified,Partner Referral,005H18uJWTVdyNheWe,BDR,7,5,2,4,539,0,73.0,66.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0129629629629629,0.0074074074074074,7.0,0.0149253731343283,0.0135135135135135,58.36944361672584,Warm,0.5721122448979592,0.34548485525140543,0.9699642857142857,Follow up within 48 hours,1
Open,Trade Show,005mm9vtHx0K9TGlB7,SDR,4,1,3,4,329,225,0.0,0.0,0.25,0.75,1.0,0.0121212121212121,0.0121212121212121,0.017699115044247787,1.0,1.0,69.4651497774542,Warm,0.713295918367347,0.6722022714933712,0.6817142857142858,Follow up within 48 hours,1
Qualified,Trade Show,005vvizm5OfORbfBYV,SDR,3,2,1,1,1037,248,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0028901734104046,0.0009633911368015,0.012048192771084338,1.0,1.0,49.100983110787524,Cool,0.502188775510204,0.5113213191124187,0.4325952380952381,Nurture and monitor,1
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,3,1,2,2,1412,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0021231422505307,0.0014154281670205,3.0,1.0,1.0,52.95581304276031,Warm,0.548173469387755,0.42397608101718065,0.6413928571428571,Follow up within 48 hours,0
Open,Web,005EhkAnpKcWuNovJ6,BDR,2,1,1,0,280,479,0.0,0.0,0.5,0.5,0.0,0.0071174377224199,0.0,0.004166666666666667,1.0,1.0,47.46418038969909,Cool,0.4652551020408163,0.6829760810171807,0.18560714285714286,Nurture and monitor,0
Open,Trade Show,005voBFvhNYadVKXTu,BDR,4,2,2,2,1409,0,0.0,0.0,0.5,0.5,0.5,0.0028368794326241,0.001418439716312,4.0,1.0,1.0,54.6681429747331,Warm,0.5424795918367347,0.4246784619695616,0.7401904761904762,Follow up within 48 hours,1
Working,Trade Show,005GkgNJqeO2GW2jXH,SDR,3,2,1,0,449,1028,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0066666666666666,0.0,0.0029154518950437317,1.0,1.0,47.06210555976711,Cool,0.46188265306122445,0.6449165572076568,0.23102380952380952,Nurture and monitor,1
Qualified,Partner Referral,0050fGb9Xo51dtJbLu,AE,6,3,3,2,545,439,0.0,0.0,0.5,0.5,0.3333333333333333,0.0109890109890109,0.0036630036630036,0.013636363636363636,1.0,1.0,63.91470760058344,Warm,0.6270561224489796,0.6237379857790853,0.6924880952380952,Follow up within 48 hours,0
Working,Outbound,005bo0fFeWaVUqG2KV,SDR,7,5,2,5,48,711,21.0,0.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.1428571428571428,0.1020408163265306,0.009831460674157303,1.0,0.0454545454545454,67.82125806556532,Warm,0.6851989795918367,0.6060515727070527,0.7689880952380953,Follow up within 48 hours,1
Open,Partner Referral,005d2TMY2eGPYkWkSs,AE,5,3,2,1,1065,0,0.0,0.0,0.6,0.4,0.2,0.0046904315196998,0.0009380863039399,5.0,1.0,1.0,54.96134025364468,Warm,0.506938775510204,0.5048927476838473,0.7233809523809525,Follow up within 48 hours,1
Open,Outbound,005SotgxabsZFoiinJ,BDR,2,2,0,1,504,0,0.0,0.0,1.0,0.0,0.5,0.0039603960396039,0.0019801980198019,2.0,1.0,1.0,56.82882324684195,Warm,0.5770051020408163,0.6334998905409902,0.4486785714285714,Follow up within 48 hours,0
Working,Trade Show,005r8kcdxSxYgha9K0,SDR,1,1,0,0,812,0,388.0,384.0,1.0,0.0,0.0,0.001230012300123,0.0,1.0,0.0025974025974025,0.0025706940874035,22.87115217804665,Cold,0.2291581632653061,0.20135416557207653,0.2686309523809524,Add to nurture campaign,1
Working,Web,005aABhuRiSBg0srbz,SDR,4,1,3,2,413,0,0.0,0.0,0.25,0.75,0.5,0.0096618357487922,0.0048309178743961,4.0,1.0,1.0,67.3423266482025,Warm,0.6593775510204081,0.6523213191124188,0.7401904761904762,Follow up within 48 hours,0
Nurturing,Web,005O8TxStNstfUeWj7,BDR,7,4,3,1,694,850,0.0,0.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.0100719424460431,0.0014388489208633,0.008225616921269096,1.0,1.0,57.09560896112767,Warm,0.5528979591836733,0.5894284619695617,0.5883928571428572,Follow up within 48 hours,0
Qualified,Inbound,005g4fdGzuew1U6NXU,SDR,5,3,2,0,1090,0,0.0,0.0,0.6,0.4,0.0,0.0045829514207149,0.0,5.0,1.0,1.0,49.21236066180794,Cool,0.439780612244898,0.49933322387432355,0.6121666666666666,Nurture and monitor,1
Working,Inbound,005gXBXTL8NV8xfMOI,BDR,5,2,3,2,1362,0,0.0,0.0,0.4,0.6,0.4,0.0036683785766691,0.0014673514306676,5.0,1.0,1.0,56.66307494752222,Warm,0.5442448979591836,0.43567846196956167,0.8190238095238095,Follow up within 48 hours,1
Nurturing,Outbound,005sbu92PDPF7bHdnm,BDR,7,2,5,1,106,0,49.0,39.0,0.2857142857142857,0.7142857142857143,0.1428571428571428,0.0654205607476635,0.0093457943925233,7.0,0.025,0.02,56.02392236041162,Warm,0.5269183673469388,0.4524810854831083,0.8051785714285714,Follow up within 48 hours,0
Nurturing,Inbound,005F4DJKwnDrFRcqbf,BDR,6,4,2,1,463,696,0.0,0.0,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0129310344827586,0.0021551724137931,0.00860832137733142,1.0,1.0,59.69987766861065,Warm,0.5802499999999998,0.6420237000647997,0.5713333333333334,Follow up within 48 hours,1
Working,Web,005gYdlj9yv5Cc6zkp,BDR,6,2,4,2,989,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.006060606060606,0.002020202020202,6.0,1.0,1.0,61.99861916520929,Warm,0.5781224489795918,0.5219165572076568,0.87175,Follow up within 48 hours,0
Open,Web,005chtXE6kHD1j5gMk,BDR,3,0,3,0,824,191,0.0,0.0,0.0,1.0,0.0,0.0036363636363636,0.0,0.015625,1.0,1.0,44.52329603595759,Cool,0.4217755102040817,0.5591189381600378,0.33304761904761904,Nurture and monitor,1
Working,Outbound,005a88RCsXNcc8P2XG,BDR,5,3,2,0,702,618,0.0,0.0,0.6,0.4,0.0,0.0071123755334281,0.0,0.008077544426494346,1.0,1.0,49.28722460738617,Cool,0.46520408163265303,0.587559414350514,0.4200119047619048,Nurture and monitor,1
Nurturing,Outbound,005ITUm8sMeUL9Z9US,AE,3,2,1,2,1381,40,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0021707670043415,0.0014471780028943,0.07317073170731707,1.0,1.0,51.918857260447396,Warm,0.5503367346938776,0.43120227149337115,0.573297619047619,Follow up within 48 hours,0
Working,Event,005uzGGUX4TIYx0w3I,AE,1,0,1,0,1226,3,246.0,228.0,0.0,1.0,0.0,0.0008149959250203,0.0,0.25,0.0043668122270742,0.0040485829959514,21.226515181651916,Cold,0.23809693877551016,0.1380952906355628,0.25894047619047617,Add to nurture campaign,1
Qualified,Trade Show,005M1BnJPIeqHk8Nds,SDR,0,0,0,0,254,186,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.147721088435375,Cool,0.0739591836734694,0.941547619047619,0.060166666666666674,Nurture and monitor,1
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,4,3,1,0,778,403,0.0,0.0,0.75,0.25,0.0,0.0051347881899871,0.0,0.009900990099009901,1.0,1.0,47.00326202235215,Cool,0.44690816326530614,0.5698808429219425,0.37807142857142856,Nurture and monitor,1
Open,Inbound,005w1rZfJkoRoaYcEo,BDR,3,3,0,2,225,1318,48.0,37.0,1.0,0.0,0.6666666666666666,0.0132743362831858,0.0088495575221238,0.002274450341167551,0.0263157894736842,0.0204081632653061,50.5894523171534,Warm,0.5856326530612244,0.42580033800942224,0.4266904761904762,Follow up within 48 hours,0
Nurturing,Trade Show,005vvizm5OfORbfBYV,SDR,7,5,2,4,87,1198,0.0,0.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0795454545454545,0.0454545454545454,0.005838198498748957,1.0,1.0,72.58200351895078,Warm,0.7236377551020406,0.7267737000647997,0.7298452380952382,Follow up within 48 hours,1
Qualified,Partner Referral,005CyM4CU7TgZ0ieQC,BDR,5,1,4,2,847,611,0.0,0.0,0.2,0.8,0.4,0.0058962264150943,0.0023584905660377,0.008169934640522876,1.0,1.0,58.98489467541337,Warm,0.5965408163265306,0.5534998905409901,0.6276428571428572,Follow up within 48 hours,0
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,6,4,2,2,38,1143,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1538461538461538,0.0512820512820512,0.005244755244755245,1.0,1.0,69.08562596793038,Warm,0.685438775510204,0.7385356048267044,0.6328809523809523,Follow up within 48 hours,1
Working,Trade Show,005IAWyyPlUBLQDIva,SDR,1,0,1,0,999,0,285.0,278.0,0.0,1.0,0.0,0.001,0.0,1.0,0.003584229390681,0.0034965034965034,22.540271189387855,Cold,0.23572448979591837,0.17938092173242967,0.2686309523809524,Add to nurture campaign,0
Nurturing,Outbound,005k1Pfjp8rVQw0f9u,BDR,1,1,0,0,1402,0,0.0,0.0,1.0,0.0,0.0,0.0007127583749109,0.0,1.0,1.0,1.0,36.834095355685484,Cool,0.37347959183673474,0.42624989054099016,0.2686309523809524,Nurture and monitor,0
Working,Outbound,005oRycfOWj8YbLrlq,AE,7,4,3,1,803,0,0.0,0.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.0087064676616915,0.0012437810945273,7.0,1.0,1.0,60.12025181827052,Warm,0.5420765306122448,0.5637617953028949,0.8051785714285714,Follow up within 48 hours,1
Nurturing,Trade Show,005eP2OT2tJzd6Dja9,BDR,1,0,1,0,729,40,0.0,0.0,0.0,1.0,0.0,0.0013698630136986,0.0,0.024390243902439025,1.0,1.0,41.14586406316849,Cool,0.3800816326530613,0.5814165572076568,0.23496428571428574,Nurture and monitor,1
Working,Web,005XZUpRP9HBvLfhY6,BDR,6,2,4,4,1108,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0054102795311091,0.0036068530207394,6.0,1.0,1.0,65.83213957337256,Warm,0.6429642857142858,0.4955356048267045,0.9408928571428571,Follow up within 48 hours,0
Nurturing,Partner Referral,005Cu36WnbRoy8DEqo,SDR,3,1,2,1,545,202,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0054945054945054,0.0018315018315018,0.014778325123152709,1.0,1.0,55.96151032167188,Warm,0.5680969387755102,0.6237379857790853,0.44222619047619044,Follow up within 48 hours,1
Working,Partner Referral,005JwwpEL8xofdwkwl,SDR,4,1,3,3,122,713,283.0,253.0,0.25,0.75,0.75,0.032520325203252,0.024390243902439,0.0056022408963585435,0.0039370078740157,0.0035211267605633,52.79145137017661,Warm,0.588234693877551,0.38127627016234955,0.5970714285714286,Follow up within 48 hours,1
Qualified,Event,005CyM4CU7TgZ0ieQC,BDR,2,1,1,0,39,1419,95.0,83.0,0.5,0.5,0.0,0.05,0.0,0.0014084507042253522,0.0119047619047619,0.0104166666666666,35.68662091905537,Cool,0.3872040816326531,0.4511107199775828,0.1396547619047619,Nurture and monitor,0
Working,Web,005bZBvn4MclbYAtNN,SDR,1,1,0,1,518,0,164.0,148.0,1.0,0.0,1.0,0.001926782273603,0.001926782273603,1.0,0.0067114093959731,0.006060606060606,39.34508789871226,Cool,0.4416734693877551,0.32215032224732487,0.3798452380952381,Nurture and monitor,0
Working,Trade Show,005XY6JL792Cjz6tvp,BDR,2,1,1,1,962,0,0.0,0.0,0.5,0.5,0.5,0.0020768431983385,0.0010384215991692,2.0,1.0,1.0,50.70336406316848,Warm,0.5177244897959182,0.5281189381600379,0.4486785714285714,Follow up within 48 hours,0
Qualified,Inbound,005XY6JL792Cjz6tvp,BDR,3,1,2,3,1142,0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0026246719160104,0.0026246719160104,3.0,1.0,1.0,58.342156580175285,Warm,0.597969387755102,0.48729750958860923,0.6912380952380953,Follow up within 48 hours,0
Working,Outbound,005dJm5gIU7nUKZnv1,AE,6,4,2,0,1348,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0044477390659747,0.0,6.0,1.0,1.0,48.34489467541338,Cool,0.4376122448979592,0.4388808429219426,0.6648928571428572,Nurture and monitor,1
Open,Inbound,005mzHykyCWibqXEgp,BDR,4,3,1,3,65,549,846.0,837.0,0.75,0.25,0.75,0.0606060606060606,0.0454545454545454,0.007272727272727273,0.0011933174224343,0.0011806375442739,50.59933109286378,Warm,0.5681479591836734,0.3292866600115589,0.6156666666666667,Follow up within 48 hours,1
Working,Inbound,005SW3xD3pVRHzXb4Z,SDR,6,3,3,2,1450,0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0041350792556857,0.0013783597518952,6.0,1.0,1.0,56.739180389699094,Warm,0.5362908163265306,0.4163213191124188,0.87175,Follow up within 48 hours,0
Qualified,Outbound,005FA8TcXwRGIFLbcj,SDR,6,3,3,0,1202,0,0.0,0.0,0.5,0.5,0.0,0.0049875311720698,0.0,6.0,1.0,1.0,49.753568144801136,Cool,0.44507142857142856,0.4734046524457521,0.6648928571428572,Nurture and monitor,0
Nurturing,Web,005sbu92PDPF7bHdnm,BDR,6,2,4,1,1370,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.0043763676148796,0.0007293946024799,6.0,1.0,1.0,52.847190593780724,Warm,0.48608673469387753,0.43402370006479973,0.7761071428571428,Follow up within 48 hours,1
Qualified,Inbound,005v0k6ScHdsTsZ8Rg,AE,2,2,0,0,399,622,769.0,766.0,1.0,0.0,0.0,0.005,0.0,0.0032102728731942215,0.0013037809647979,0.0012987012987012,24.90790939546102,Cold,0.2768622448979592,0.25586625422511783,0.1694404761904762,Add to nurture campaign,0
Qualified,Trade Show,005YgcwjR0nrnHIGZX,SDR,7,1,6,3,54,1489,97.0,71.0,0.1428571428571428,0.8571428571428571,0.4285714285714285,0.1272727272727272,0.0545454545454545,0.004697986577181208,0.0138888888888888,0.010204081632653,56.5386526409019,Warm,0.5831887755102041,0.449235700274961,0.6951071428571428,Follow up within 48 hours,1
Qualified,Event,005mYnZlHWW2dnL0rt,BDR,3,1,2,3,637,918,109.0,108.0,0.3333333333333333,0.6666666666666666,1.0,0.0047021943573667,0.0047021943573667,0.003264417845484222,0.0091743119266055,0.009090909090909,45.73597130797887,Cool,0.5319795918367347,0.30881242228410305,0.49363095238095234,Nurture and monitor,1
Qualified,Inbound,005RYrmmC3EMzwluqj,BDR,2,1,1,1,191,169,0.0,0.0,0.5,0.5,0.5,0.0104166666666666,0.0052083333333333,0.011764705882352941,1.0,1.0,61.5459661039848,Warm,0.6633979591836734,0.7026308429219426,0.36485714285714294,Follow up within 48 hours,1
Open,Web,005T3CcQW30Fc3HxzP,BDR,4,1,3,2,420,0,0.0,0.0,0.25,0.75,0.5,0.009501187648456,0.004750593824228,4.0,1.0,1.0,67.2698266482025,Warm,0.6585918367346938,0.6512141762552759,0.7401904761904762,Follow up within 48 hours,0
Qualified,Outbound,005BLRswT6VWAL3Jkq,BDR,6,2,4,2,747,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0080213903743315,0.0026737967914438,6.0,1.0,1.0,64.94560896112766,Warm,0.603969387755102,0.5770713191124187,0.87175,Follow up within 48 hours,1
