status,lead_source,lead_owner_id,owner_role,owner_department,owner_is_active,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,lead_is_converted,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity
Working,Trade Show,005GkgNJqeO2GW2jXH,SDR,Sales,1,3,2,1,0,449,1,1028,-63.0,-81.0
Qualified,Partner Referral,0050fGb9Xo51dtJbLu,AE,Sales,1,6,3,3,2,545,0,439,-339.0,-366.0
Working,Outbound,005bo0fFeWaVUqG2KV,SDR,Sales,1,7,5,2,5,48,1,711,21.0,-5.0
Open,Partner Referral,005d2TMY2eGPYkWkSs,AE,Sales,1,5,3,2,1,1065,1,-545,-1034.0,-1045.0
Open,Outbound,005SotgxabsZFoiinJ,BDR,Sales,1,2,2,0,1,504,0,-20,-408.0,-410.0
Working,Trade Show,005r8kcdxSxYgha9K0,SDR,Sales,1,1,1,0,0,812,1,-488,388.0,384.0
Working,Web,005aABhuRiSBg0srbz,SDR,Sales,1,4,1,3,2,413,0,-130,-400.0,-419.0
Nurturing,Web,005O8TxStNstfUeWj7,BDR,Sales,1,7,4,3,1,694,0,850,-646.0,-661.0
Qualified,Inbound,005g4fdGzuew1U6NXU,SDR,Sales,1,5,3,2,0,1090,1,-327,-907.0,-932.0
Working,Inbound,005gXBXTL8NV8xfMOI,BDR,Sales,1,5,2,3,2,1362,1,-1129,-1368.0,-1383.0
Nurturing,Outbound,005sbu92PDPF7bHdnm,BDR,Sales,1,7,2,5,1,106,0,-78,49.0,39.0
Nurturing,Inbound,005F4DJKwnDrFRcqbf,BDR,Sales,1,6,4,2,1,463,1,696,-421.0,-430.0
Working,Web,005gYdlj9yv5Cc6zkp,BDR,Sales,1,6,2,4,2,989,0,-688,-948.0,-974.0
Open,Web,005chtXE6kHD1j5gMk,BDR,Sales,1,3,0,3,0,824,1,191,-447.0,-453.0
Working,Outbound,005a88RCsXNcc8P2XG,BDR,Sales,1,5,3,2,0,702,1,618,-696.0,-710.0
Nurturing,Outbound,005ITUm8sMeUL9Z9US,AE,Sales,1,3,2,1,2,1381,0,40,-808.0,-823.0
Working,Event,005uzGGUX4TIYx0w3I,AE,Sales,1,1,0,1,0,1226,1,3,246.0,228.0
Qualified,Trade Show,005M1BnJPIeqHk8Nds,SDR,Sales,1,0,0,0,0,254,1,186,,
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,Sales,1,4,3,1,0,778,1,403,-631.0,-659.0
Open,Inbound,005w1rZfJkoRoaYcEo,BDR,Sales,1,3,3,0,2,225,0,1318,48.0,37.0
Nurturing,Trade Show,005vvizm5OfORbfBYV,SDR,Sales,1,7,5,2,4,87,1,1198,-76.0,-82.0
Qualified,Partner Referral,005CyM4CU7TgZ0ieQC,BDR,Sales,1,5,1,4,2,847,0,611,-733.0,-740.0
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,Sales,1,6,4,2,2,38,1,1143,-16.0,-17.0
Working,Trade Show,005IAWyyPlUBLQDIva,SDR,Sales,1,1,0,1,0,999,0,-6,285.0,278.0
Nurturing,Outbound,005k1Pfjp8rVQw0f9u,BDR,Sales,1,1,1,0,0,1402,0,-172,-563.0,-566.0
Working,Outbound,005oRycfOWj8YbLrlq,AE,Sales,1,7,4,3,1,803,1,-109,-790.0,-807.0
Nurturing,Trade Show,005eP2OT2tJzd6Dja9,BDR,Sales,1,1,0,1,0,729,1,40,-519.0,-544.0
Working,Web,005XZUpRP9HBvLfhY6,BDR,Sales,1,6,2,4,4,1108,0,-42,-1091.0,-1113.0
Nurturing,Partner Referral,005Cu36WnbRoy8DEqo,SDR,Sales,1,3,1,2,1,545,1,202,-73.0,-88.0
Working,Partner Referral,005JwwpEL8xofdwkwl,SDR,Sales,1,4,1,3,3,122,1,713,283.0,253.0
Qualified,Event,005CyM4CU7TgZ0ieQC,BDR,Sales,1,2,1,1,0,39,0,1419,95.0,83.0
Working,Web,005bZBvn4MclbYAtNN,SDR,Sales,1,1,1,0,1,518,0,-32,164.0,148.0
Working,Trade Show,005XY6JL792Cjz6tvp,BDR,Sales,1,2,1,1,1,962,0,-188,-362.0,-378.0
Qualified,Inbound,005XY6JL792Cjz6tvp,BDR,Sales,1,3,1,2,3,1142,0,-368,-1091.0,-1111.0
Working,Outbound,005dJm5gIU7nUKZnv1,AE,Sales,1,6,4,2,0,1348,1,-820,-1259.0,-1262.0
Open,Inbound,005mzHykyCWibqXEgp,BDR,Sales,1,4,3,1,3,65,1,549,846.0,837.0
Working,Inbound,005SW3xD3pVRHzXb4Z,SDR,Sales,1,6,3,3,2,1450,0,-12,-1309.0,-1311.0
Qualified,Outbound,005FA8TcXwRGIFLbcj,SDR,Sales,1,6,3,3,0,1202,0,-150,-1022.0,-1035.0
Nurturing,Web,005sbu92PDPF7bHdnm,BDR,Sales,1,6,2,4,1,1370,1,-1342,-978.0,-998.0
Qualified,Inbound,005v0k6ScHdsTsZ8Rg,AE,Sales,1,2,2,0,0,399,0,622,769.0,766.0
Qualified,Trade Show,005YgcwjR0nrnHIGZX,SDR,Sales,1,7,1,6,3,54,1,1489,97.0,71.0
Qualified,Event,005mYnZlHWW2dnL0rt,BDR,Sales,1,3,1,2,3,637,1,918,109.0,108.0
Qualified,Inbound,005RYrmmC3EMzwluqj,BDR,Sales,1,2,1,1,1,191,1,169,-137.0,-161.0
Open,Web,005T3CcQW30Fc3HxzP,BDR,Sales,1,4,1,3,2,420,0,-75,-400.0,-416.0
Qualified,Outbound,005BLRswT6VWAL3Jkq,BDR,Sales,1,6,2,4,2,747,1,-11,-45.0,-53.0
Nurturing,Inbound,005tRa1eePdjJYM6mg,BDR,Sales,1,1,0,1,1,739,1,705,207.0,196.0
Nurturing,Trade Show,005sbu92PDPF7bHdnm,BDR,Sales,1,2,1,1,0,1243,0,-1215,-891.0,-896.0
Nurturing,Web,005SzPtEFRJYtyoJvY,BDR,Sales,1,2,1,1,1,107,1,457,84.0,76.0
Nurturing,Event,005RpFPjmmumSx8sB2,AE,Sales,1,5,1,4,3,1233,1,417,-969.0,-995.0
Nurturing,Web,005RNwgHWbHSrrlfhq,BDR,Sales,1,6,4,2,1,409,1,138,-336.0,-365.0
Qualified,Event,005GkgNJqeO2GW2jXH,SDR,Sales,1,7,3,4,1,1040,0,437,-741.0,-770.0
Working,Event,005VLfsfX7zhRzFubF,SDR,Sales,1,1,1,0,0,381,0,416,762.0,740.0
Open,Event,0059wV9ybGAGQOgvhj,BDR,Sales,1,1,0,1,1,100,0,1004,458.0,431.0
Open,Web,005iRmiKUtSSkR82g5,BDR,Sales,1,3,0,3,2,382,0,925,-52.0,-70.0
Qualified,Trade Show,005FmC4bvUmQBFO9r1,BDR,Sales,1,3,1,2,1,768,0,910,-333.0,-342.0
Qualified,Trade Show,005RNwgHWbHSrrlfhq,BDR,Sales,1,3,0,3,0,1264,1,-717,-1046.0,-1047.0
Qualified,Event,005ZhFZ3TvVOVxKEgo,SDR,Sales,1,1,1,0,0,48,1,101,852.0,829.0
Open,Event,005YgcwjR0nrnHIGZX,SDR,Sales,1,0,0,0,0,1014,1,529,,
Working,Event,005lwhmSG1MSOXLTAt,SDR,Sales,1,3,2,1,2,1019,1,-10,-528.0,-543.0
Working,Trade Show,005Cu36WnbRoy8DEqo,SDR,Sales,1,5,1,4,2,672,0,75,-31.0,-61.0
Nurturing,Partner Referral,005tcchhnKXX6SYaxV,SDR,Sales,1,4,3,1,1,636,1,670,506.0,477.0
Open,Trade Show,005mbGysH2pp4xju3N,SDR,Sales,1,2,2,0,0,0,0,796,157.0,140.0
Working,Inbound,0052vuTGNhPaf9DJtR,SDR,Sales,1,5,5,0,3,259,1,-153,-208.0,-217.0
Nurturing,Partner Referral,005EQtkoEfdgXDf2kK,AE,Sales,1,2,2,0,2,1196,1,-527,-476.0,-504.0
Qualified,Outbound,005bo0fFeWaVUqG2KV,SDR,Sales,1,2,1,1,1,1066,0,-307,-473.0,-490.0
Open,Partner Referral,005T3CcQW30Fc3HxzP,BDR,Sales,1,3,3,0,1,399,1,-54,140.0,115.0
Working,Partner Referral,005lkDbq9IPSQ2U7zZ,BDR,Sales,1,4,3,1,2,615,0,736,-486.0,-495.0
Nurturing,Outbound,005eGrxIA9j7Kap744,AE,Sales,1,5,1,4,0,1107,1,-217,-390.0,-400.0
Nurturing,Outbound,005uK1d6IniB6ZlkqB,SDR,Sales,1,0,0,0,0,1109,0,-1022,,
Open,Partner Referral,005tRa1eePdjJYM6mg,BDR,Sales,1,0,0,0,0,168,1,1276,,
Nurturing,Web,005CS61es1IwtecnA5,SDR,Sales,1,2,2,0,0,623,1,-545,604.0,593.0
Nurturing,Outbound,005f9kyPUYR0yZXH7k,SDR,Sales,1,3,0,3,2,1248,1,-923,-1194.0,-1201.0
Working,Inbound,005ZRAk3rxvD6mvf15,BDR,Sales,1,5,3,2,2,489,0,13,-83.0,-112.0
Working,Event,005qf3JcieWVjwiYd7,BDR,Sales,1,1,1,0,0,1112,1,-537,-37.0,-49.0
Nurturing,Web,005gYdlj9yv5Cc6zkp,BDR,Sales,1,1,0,1,0,366,1,-65,11.0,-8.0
Qualified,Outbound,005w1rZfJkoRoaYcEo,BDR,Sales,1,5,3,2,0,782,0,761,-687.0,-688.0
Open,Trade Show,005hJPMnhQ0WRyZFX9,BDR,Sales,1,4,2,2,2,910,0,-163,-599.0,-604.0
Open,Inbound,005mYnZlHWW2dnL0rt,BDR,Sales,1,2,1,1,2,136,0,1419,-38.0,-60.0
Open,Trade Show,005lwhmSG1MSOXLTAt,SDR,Sales,1,6,5,1,0,55,1,954,-15.0,-44.0
Nurturing,Partner Referral,005uJa3pJEeyQVnsZp,BDR,Sales,1,5,2,3,3,1266,0,-1186,-1138.0,-1153.0
Qualified,Outbound,005Xq8vs8ialvuJ4ap,SDR,Sales,1,8,3,5,1,1109,0,-991,-1100.0,-1106.0
Qualified,Partner Referral,005vvizm5OfORbfBYV,SDR,Sales,1,5,4,1,3,176,1,1109,-94.0,-104.0
Qualified,Inbound,005eDoAsKFf2bpyVk2,BDR,Sales,1,1,0,1,0,569,0,-458,-269.0,-295.0
Open,Inbound,005AQpXsPDqHdTKZrg,AE,Sales,1,2,2,0,0,309,1,1047,152.0,128.0
Working,Outbound,005bZBvn4MclbYAtNN,SDR,Sales,1,6,4,2,2,896,1,-410,-911.0,-925.0
Nurturing,Inbound,005DS8Y3naP935K0U7,BDR,Sales,1,2,1,1,1,131,1,968,70.0,45.0
Open,Event,005hrcAAsV0H3bsIeE,SDR,Sales,1,2,1,1,0,883,0,-499,-294.0,-317.0
Nurturing,Web,005I4QuXwZXCZDkjMX,AE,Sales,1,6,2,4,1,518,0,531,-216.0,-225.0
Nurturing,Inbound,005f9kyPUYR0yZXH7k,SDR,Sales,1,0,0,0,0,52,0,273,,
Working,Inbound,005ZmDANT8NxIwQSUH,BDR,Sales,1,2,1,1,0,341,0,-410,352.0,337.0
Working,Outbound,005r8kcdxSxYgha9K0,SDR,Sales,1,6,3,3,3,1285,1,-961,-1274.0,-1288.0
Open,Partner Referral,005fDW8pqYyhUsaaJT,SDR,Sales,1,2,1,1,1,1125,1,-439,-700.0,-725.0
Qualified,Inbound,005iSUGFUqSTcmtbKs,SDR,Sales,1,3,1,2,2,351,0,474,-153.0,-166.0
Open,Web,005ZRAk3rxvD6mvf15,BDR,Sales,1,7,1,6,3,737,0,-235,-555.0,-580.0
Nurturing,Trade Show,005kGz3iLXUMdHQq3f,SDR,Sales,1,10,6,4,4,1006,0,-10,-1015.0,-1032.0
Nurturing,Web,0055pWDZRM9H820dFq,SDR,Sales,1,1,1,0,1,301,1,49,540.0,517.0
Working,Event,005vvizm5OfORbfBYV,SDR,Sales,1,2,1,1,0,1400,0,-115,-1033.0,-1058.0
Qualified,Partner Referral,005eP2OT2tJzd6Dja9,BDR,Sales,1,8,3,5,2,1150,1,-381,-1044.0,-1074.0
Nurturing,Web,005FmC4bvUmQBFO9r1,BDR,Sales,1,4,3,1,0,903,0,775,-382.0,-396.0
Nurturing,Event,005Xq8vs8ialvuJ4ap,SDR,Sales,1,2,1,1,1,1254,1,-1136,-1127.0,-1138.0
Qualified,Outbound,005PuqoGxlvwVICWiV,BDR,Sales,1,10,8,2,2,1195,1,387,-1207.0,-1210.0
Open,Trade Show,005Ozb2jx0nnrpjBm7,SDR,Sales,1,4,1,3,2,1293,0,-30,-1056.0,-1058.0
Qualified,Event,005mbGysH2pp4xju3N,SDR,Sales,1,8,6,2,3,680,1,116,-482.0,-499.0
Working,Partner Referral,005chtXE6kHD1j5gMk,BDR,Sales,1,3,1,2,1,503,1,512,-216.0,-243.0
Qualified,Web,005GITA8ZV1nYz3VcV,BDR,Sales,1,3,1,2,0,586,0,211,-120.0,-130.0
Nurturing,Partner Referral,005BLRswT6VWAL3Jkq,BDR,Sales,1,2,0,2,1,546,1,190,-103.0,-130.0
Nurturing,Web,005Sq8Z0wjCdFUQUHx,SDR,Sales,1,5,1,4,2,1408,1,-665,-646.0,-647.0
Working,Event,005mYnZlHWW2dnL0rt,BDR,Sales,1,4,2,2,3,402,1,1153,15.0,6.0
Open,Inbound,005Sq8Z0wjCdFUQUHx,SDR,Sales,1,4,4,0,0,1258,0,-515,-620.0,-640.0
Working,Event,0053WZIwXgjGUPdHRc,SDR,Sales,1,2,1,1,1,1180,1,-757,-624.0,-626.0
Qualified,Outbound,005H18uJWTVdyNheWe,BDR,Sales,1,0,0,0,0,1064,1,-949,,
Working,Web,005gXBXTL8NV8xfMOI,BDR,Sales,1,3,1,2,2,844,0,-611,94.0,66.0
Open,Inbound,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,5,4,1,2,177,0,618,29.0,6.0
Open,Outbound,005FmC4bvUmQBFO9r1,BDR,Sales,1,3,0,3,1,1430,0,248,-1319.0,-1347.0
Working,Trade Show,005PuqoGxlvwVICWiV,BDR,Sales,1,5,3,2,1,467,0,1115,-249.0,-266.0
Open,Web,005iSUGFUqSTcmtbKs,SDR,Sales,1,2,1,1,1,648,0,177,-438.0,-444.0
Open,Inbound,005nz6ixedb0ulRU2P,BDR,Sales,1,2,1,1,0,839,0,778,-662.0,-682.0
Qualified,Event,005YJKL1sxnz5KucCa,SDR,Sales,1,5,1,4,1,483,0,179,-444.0,-450.0
Open,Trade Show,005JwwpEL8xofdwkwl,SDR,Sales,1,0,0,0,0,1298,0,-463,,
Nurturing,Event,005kYbLfois6p7LjKf,SDR,Sales,1,4,4,0,1,138,0,369,283.0,271.0
Open,Partner Referral,005SW3xD3pVRHzXb4Z,SDR,Sales,1,4,3,1,0,435,0,1003,-259.0,-265.0
Open,Trade Show,00512E80qDwAaI1oOE,SDR,Sales,1,5,2,3,1,594,1,770,-550.0,-570.0
Qualified,Outbound,005gYdlj9yv5Cc6zkp,BDR,Sales,1,1,0,1,0,898,1,-597,-68.0,-80.0
Nurturing,Partner Referral,005SW3xD3pVRHzXb4Z,SDR,Sales,1,6,3,3,1,518,1,920,-483.0,-500.0
Open,Outbound,005YgcwjR0nrnHIGZX,SDR,Sales,1,4,3,1,1,825,1,718,-763.0,-771.0
Qualified,Outbound,005ZgXPYFXOBU7G1tp,BDR,Sales,1,7,6,1,1,3,1,599,81.0,64.0
Open,Inbound,005bLIYitOgj1qzWEZ,AE,Sales,1,3,1,2,2,42,1,1638,613.0,589.0
Open,Event,0053WZIwXgjGUPdHRc,SDR,Sales,1,5,2,3,2,831,1,-408,-721.0,-748.0
Working,Inbound,0054cPwdknqYVBf2UL,BDR,Sales,1,6,2,4,2,1348,0,-434,-1152.0,-1166.0
Working,Outbound,005aABhuRiSBg0srbz,SDR,Sales,1,2,2,0,1,1353,0,-1070,-463.0,-468.0
Nurturing,Web,00552has5XdvFlGgIo,SDR,Sales,1,3,2,1,2,13,1,1582,1175.0,1155.0
Working,Web,005mm9vtHx0K9TGlB7,SDR,Sales,1,5,2,3,3,144,0,410,40.0,29.0
Open,Event,005BLRswT6VWAL3Jkq,BDR,Sales,1,2,0,2,1,1458,0,-722,-1205.0,-1213.0
Qualified,Partner Referral,005U1SVjkIk2fyV5rw,SDR,Sales,1,2,1,1,0,1141,1,-1126,-1098.0,-1112.0
Qualified,Trade Show,005PsOTr02Fp2pwCFZ,BDR,Sales,1,4,2,2,3,592,1,100,-426.0,-454.0
Working,Outbound,005SzPtEFRJYtyoJvY,BDR,Sales,1,5,4,1,1,21,1,543,160.0,159.0
Open,Outbound,005hrcAAsV0H3bsIeE,SDR,Sales,1,5,2,3,0,413,1,-29,-77.0,-81.0
Qualified,Inbound,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,6,3,3,2,974,0,-179,-963.0,-991.0
Working,Outbound,005YgcwjR0nrnHIGZX,SDR,Sales,1,4,2,2,1,1104,1,439,-892.0,-914.0
Qualified,Trade Show,005lwhmSG1MSOXLTAt,SDR,Sales,1,8,2,6,4,82,0,927,321.0,316.0
Open,Outbound,00512E80qDwAaI1oOE,SDR,Sales,1,1,0,1,1,82,1,1282,1322.0,1318.0
Working,Partner Referral,005oRycfOWj8YbLrlq,AE,Sales,1,4,1,3,2,1088,1,-394,-524.0,-544.0
Working,Trade Show,005dKuyWKIuifL64ip,BDR,Sales,1,4,3,1,0,1338,0,-1302,-1108.0,-1111.0
Qualified,Web,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,4,0,4,1,439,0,356,12.0,-15.0
Nurturing,Partner Referral,005ZgXPYFXOBU7G1tp,BDR,Sales,1,6,3,3,3,937,0,-335,-800.0,-819.0
Working,Web,005Jf9CIg9lV3G32cG,BDR,Sales,1,6,2,4,2,624,1,369,-642.0,-648.0
Working,Trade Show,005KXIvx3Ru4Hx5BVz,SDR,Sales,1,3,2,1,2,1251,1,-456,-1202.0,-1207.0
Qualified,Partner Referral,005kYbLfois6p7LjKf,SDR,Sales,1,3,1,2,0,1242,1,-735,-1206.0,-1207.0
Qualified,Inbound,005Fg6NzJiUZlow1pr,BDR,Sales,1,4,2,2,1,763,0,470,-690.0,-716.0
Working,Partner Referral,005fDW8pqYyhUsaaJT,SDR,Sales,1,4,0,4,1,301,0,385,-73.0,-80.0
Open,Partner Referral,005iRmiKUtSSkR82g5,BDR,Sales,1,2,1,1,0,325,0,982,309.0,279.0
Nurturing,Event,005RMzHVKudpQtLAvV,SDR,Sales,1,0,0,0,0,91,0,1444,,
Qualified,Trade Show,005lECbWsEiD75E7eC,SDR,Sales,1,7,4,3,3,28,1,475,81.0,61.0
Qualified,Event,005GBFWjFmmyU3YASa,BDR,Sales,1,2,1,1,1,1039,0,-329,-926.0,-931.0
Nurturing,Partner Referral,005oTuswObpFtGANeE,SDR,Sales,1,8,5,3,2,1161,0,-974,-886.0,-903.0
Qualified,Partner Referral,005eP2OT2tJzd6Dja9,BDR,Sales,1,4,4,0,2,1457,1,-688,-498.0,-519.0
Nurturing,Trade Show,005PhLjKVjb9dOzZoL,AE,Sales,1,4,1,3,0,375,1,-78,-267.0,-272.0
Working,Event,005oy1dBH72KcdA9bM,SDR,Sales,1,2,0,2,0,756,1,570,-506.0,-530.0
Working,Trade Show,005lkDbq9IPSQ2U7zZ,BDR,Sales,1,2,1,1,2,548,0,803,-250.0,-258.0
Working,Inbound,00566La41L76C1ZyfL,SDR,Sales,1,4,1,3,1,1050,0,399,-1077.0,-1081.0
Qualified,Web,0058Bwr0RkCwwLehpc,BDR,Sales,1,4,4,0,2,1286,0,-801,-1302.0,-1305.0
Qualified,Inbound,0054cPwdknqYVBf2UL,BDR,Sales,1,4,3,1,2,210,0,704,-160.0,-177.0
Working,Event,005r8kcdxSxYgha9K0,SDR,Sales,1,4,2,2,2,198,1,126,-101.0,-104.0
Open,Event,005PkYO2xaCUvet6zY,SDR,Sales,1,4,1,3,1,655,0,51,-551.0,-566.0
Qualified,Partner Referral,005ZmDANT8NxIwQSUH,BDR,Sales,1,2,1,1,1,1277,0,-1346,-443.0,-473.0
Working,Event,005T3CcQW30Fc3HxzP,BDR,Sales,1,2,0,2,0,1426,0,-1081,-322.0,-352.0
Qualified,Partner Referral,005Iyi4Xhg6R1KQ608,SDR,Sales,1,5,4,1,2,1023,1,-121,-867.0,-890.0
Qualified,Web,0050fGb9Xo51dtJbLu,AE,Sales,1,2,1,1,1,604,1,380,-534.0,-556.0
Working,Event,005Fg6NzJiUZlow1pr,BDR,Sales,1,0,0,0,0,920,1,313,,
Open,Outbound,005ygjBY3eCoYXQvBW,SDR,Sales,1,3,3,0,1,76,0,1454,160.0,143.0
Nurturing,Trade Show,005cVL9DQ83eH0EZfE,AE,Sales,1,5,3,2,2,48,0,1049,378.0,369.0
Open,Inbound,00566La41L76C1ZyfL,SDR,Sales,1,4,1,3,1,982,1,467,-872.0,-891.0
Working,Trade Show,005irLwe9xEBlEAQNC,SDR,Sales,1,2,0,2,0,510,0,-471,-58.0,-64.0
Open,Event,005vvizm5OfORbfBYV,SDR,Sales,1,3,2,1,2,357,1,928,-354.0,-360.0
Open,Web,005CyM4CU7TgZ0ieQC,BDR,Sales,1,2,2,0,0,1312,0,146,-844.0,-865.0
Working,Event,005xi0Xi0wCwuciNbG,SDR,Sales,1,5,2,3,1,1117,1,306,-689.0,-700.0
Open,Partner Referral,005bZBvn4MclbYAtNN,SDR,Sales,1,5,2,3,1,217,0,269,-132.0,-142.0
Open,Partner Referral,005JwwpEL8xofdwkwl,SDR,Sales,1,2,0,2,1,986,0,-151,-74.0,-85.0
Open,Inbound,005voBFvhNYadVKXTu,BDR,Sales,1,4,1,3,3,1176,1,-596,-758.0,-761.0
Working,Web,005mzHykyCWibqXEgp,BDR,Sales,1,2,2,0,0,1449,1,-835,-1226.0,-1252.0
Qualified,Partner Referral,005Iyi4Xhg6R1KQ608,SDR,Sales,1,2,1,1,1,425,1,477,664.0,640.0
Qualified,Outbound,005DtIhNjUqehYU9Ld,SDR,Sales,1,4,1,3,1,1209,0,-202,-733.0,-750.0
Nurturing,Event,005N1Jj8umhbHxSPTH,SDR,Sales,1,3,3,0,1,162,1,-149,1041.0,1016.0
Nurturing,Web,005scUETCztHB2VpGr,SDR,Sales,1,5,0,5,3,275,0,1279,-93.0,-111.0
Nurturing,Outbound,005UmJEIRnoljtUYmh,BDR,Sales,1,2,0,2,1,24,1,495,609.0,601.0
