status,lead_source,owner_role,owner_department,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted
Working,Partner Referral,SDR,Sales,4,1,3,3,122,713,283.0,253.0,1
Qualified,Event,BDR,Sales,2,1,1,0,39,1419,95.0,83.0,0
Working,Web,SDR,Sales,1,1,0,1,518,-32,164.0,148.0,0
Working,Trade Show,BDR,Sales,2,1,1,1,962,-188,-362.0,-378.0,0
Qualified,Inbound,BDR,Sales,3,1,2,3,1142,-368,-1091.0,-1111.0,0
Working,Outbound,AE,Sales,6,4,2,0,1348,-820,-1259.0,-1262.0,1
Open,Inbound,BDR,Sales,4,3,1,3,65,549,846.0,837.0,1
Working,Inbound,SDR,Sales,6,3,3,2,1450,-12,-1309.0,-1311.0,0
Qualified,Outbound,SDR,Sales,6,3,3,0,1202,-150,-1022.0,-1035.0,0
Nurturing,Web,BDR,Sales,6,2,4,1,1370,-1342,-978.0,-998.0,1
Qualified,Inbound,AE,Sales,2,2,0,0,399,622,769.0,766.0,0
Qualified,Trade Show,SDR,Sales,7,1,6,3,54,1489,97.0,71.0,1
Qualified,Event,BDR,Sales,3,1,2,3,637,918,109.0,108.0,1
Qualified,Inbound,BDR,Sales,2,1,1,1,191,169,-137.0,-161.0,1
Open,Web,BDR,Sales,4,1,3,2,420,-75,-400.0,-416.0,0
Qualified,Outbound,BDR,Sales,6,2,4,2,747,-11,-45.0,-53.0,1
Nurturing,Inbound,BDR,Sales,1,0,1,1,739,705,207.0,196.0,1
Nurturing,Trade Show,BDR,Sales,2,1,1,0,1243,-1215,-891.0,-896.0,0
Nurturing,Web,BDR,Sales,2,1,1,1,107,457,84.0,76.0,1
Nurturing,Event,AE,Sales,5,1,4,3,1233,417,-969.0,-995.0,1
Nurturing,Web,BDR,Sales,6,4,2,1,409,138,-336.0,-365.0,1
Qualified,Event,SDR,Sales,7,3,4,1,1040,437,-741.0,-770.0,0
Working,Event,SDR,Sales,1,1,0,0,381,416,762.0,740.0,0
Open,Event,BDR,Sales,1,0,1,1,100,1004,458.0,431.0,0
Open,Web,BDR,Sales,3,0,3,2,382,925,-52.0,-70.0,0
Qualified,Trade Show,BDR,Sales,3,1,2,1,768,910,-333.0,-342.0,0
Qualified,Trade Show,BDR,Sales,3,0,3,0,1264,-717,-1046.0,-1047.0,1
Qualified,Event,SDR,Sales,1,1,0,0,48,101,852.0,829.0,1
Open,Event,SDR,Sales,0,0,0,0,1014,529,,,1
Working,Event,SDR,Sales,3,2,1,2,1019,-10,-528.0,-543.0,1
Working,Trade Show,SDR,Sales,5,1,4,2,672,75,-31.0,-61.0,0
Nurturing,Partner Referral,SDR,Sales,4,3,1,1,636,670,506.0,477.0,1
Open,Trade Show,SDR,Sales,2,2,0,0,0,796,157.0,140.0,0
Working,Inbound,SDR,Sales,5,5,0,3,259,-153,-208.0,-217.0,1
Nurturing,Partner Referral,AE,Sales,2,2,0,2,1196,-527,-476.0,-504.0,1
Qualified,Outbound,SDR,Sales,2,1,1,1,1066,-307,-473.0,-490.0,0
Open,Partner Referral,BDR,Sales,3,3,0,1,399,-54,140.0,115.0,1
Working,Partner Referral,BDR,Sales,4,3,1,2,615,736,-486.0,-495.0,0
Nurturing,Outbound,AE,Sales,5,1,4,0,1107,-217,-390.0,-400.0,1
Nurturing,Outbound,SDR,Sales,0,0,0,0,1109,-1022,,,0
Open,Partner Referral,BDR,Sales,0,0,0,0,168,1276,,,1
Nurturing,Web,SDR,Sales,2,2,0,0,623,-545,604.0,593.0,1
Nurturing,Outbound,SDR,Sales,3,0,3,2,1248,-923,-1194.0,-1201.0,1
Working,Inbound,BDR,Sales,5,3,2,2,489,13,-83.0,-112.0,0
Working,Event,BDR,Sales,1,1,0,0,1112,-537,-37.0,-49.0,1
Nurturing,Web,BDR,Sales,1,0,1,0,366,-65,11.0,-8.0,1
Qualified,Outbound,BDR,Sales,5,3,2,0,782,761,-687.0,-688.0,0
Open,Trade Show,BDR,Sales,4,2,2,2,910,-163,-599.0,-604.0,0
Open,Inbound,BDR,Sales,2,1,1,2,136,1419,-38.0,-60.0,0
Open,Trade Show,SDR,Sales,6,5,1,0,55,954,-15.0,-44.0,1
Nurturing,Partner Referral,BDR,Sales,5,2,3,3,1266,-1186,-1138.0,-1153.0,0
Qualified,Outbound,SDR,Sales,8,3,5,1,1109,-991,-1100.0,-1106.0,0
Qualified,Partner Referral,SDR,Sales,5,4,1,3,176,1109,-94.0,-104.0,1
Qualified,Inbound,BDR,Sales,1,0,1,0,569,-458,-269.0,-295.0,0
Open,Inbound,AE,Sales,2,2,0,0,309,1047,152.0,128.0,1
Working,Outbound,SDR,Sales,6,4,2,2,896,-410,-911.0,-925.0,1
Nurturing,Inbound,BDR,Sales,2,1,1,1,131,968,70.0,45.0,1
Open,Event,SDR,Sales,2,1,1,0,883,-499,-294.0,-317.0,0
Nurturing,Web,AE,Sales,6,2,4,1,518,531,-216.0,-225.0,0
Nurturing,Inbound,SDR,Sales,0,0,0,0,52,273,,,0
Working,Inbound,BDR,Sales,2,1,1,0,341,-410,352.0,337.0,0
Working,Outbound,SDR,Sales,6,3,3,3,1285,-961,-1274.0,-1288.0,1
Open,Partner Referral,SDR,Sales,2,1,1,1,1125,-439,-700.0,-725.0,1
Qualified,Inbound,SDR,Sales,3,1,2,2,351,474,-153.0,-166.0,0
Open,Web,BDR,Sales,7,1,6,3,737,-235,-555.0,-580.0,0
Nurturing,Trade Show,SDR,Sales,10,6,4,4,1006,-10,-1015.0,-1032.0,0
Nurturing,Web,SDR,Sales,1,1,0,1,301,49,540.0,517.0,1
Working,Event,SDR,Sales,2,1,1,0,1400,-115,-1033.0,-1058.0,0
Qualified,Partner Referral,BDR,Sales,8,3,5,2,1150,-381,-1044.0,-1074.0,1
Nurturing,Web,BDR,Sales,4,3,1,0,903,775,-382.0,-396.0,0
Nurturing,Event,SDR,Sales,2,1,1,1,1254,-1136,-1127.0,-1138.0,1
Qualified,Outbound,BDR,Sales,10,8,2,2,1195,387,-1207.0,-1210.0,1
Open,Trade Show,SDR,Sales,4,1,3,2,1293,-30,-1056.0,-1058.0,0
Qualified,Event,SDR,Sales,8,6,2,3,680,116,-482.0,-499.0,1
Working,Partner Referral,BDR,Sales,3,1,2,1,503,512,-216.0,-243.0,1
Qualified,Web,BDR,Sales,3,1,2,0,586,211,-120.0,-130.0,0
Nurturing,Partner Referral,BDR,Sales,2,0,2,1,546,190,-103.0,-130.0,1
Nurturing,Web,SDR,Sales,5,1,4,2,1408,-665,-646.0,-647.0,1
Working,Event,BDR,Sales,4,2,2,3,402,1153,15.0,6.0,1
Open,Inbound,SDR,Sales,4,4,0,0,1258,-515,-620.0,-640.0,0
Working,Event,SDR,Sales,2,1,1,1,1180,-757,-624.0,-626.0,1
Qualified,Outbound,BDR,Sales,0,0,0,0,1064,-949,,,1
Working,Web,BDR,Sales,3,1,2,2,844,-611,94.0,66.0,0
Open,Inbound,SDR,Sales,5,4,1,2,177,618,29.0,6.0,0
Open,Outbound,BDR,Sales,3,0,3,1,1430,248,-1319.0,-1347.0,0
Working,Trade Show,BDR,Sales,5,3,2,1,467,1115,-249.0,-266.0,0
Open,Web,SDR,Sales,2,1,1,1,648,177,-438.0,-444.0,0
Open,Inbound,BDR,Sales,2,1,1,0,839,778,-662.0,-682.0,0
Qualified,Event,SDR,Sales,5,1,4,1,483,179,-444.0,-450.0,0
Open,Trade Show,SDR,Sales,0,0,0,0,1298,-463,,,0
Nurturing,Event,SDR,Sales,4,4,0,1,138,369,283.0,271.0,0
Open,Partner Referral,SDR,Sales,4,3,1,0,435,1003,-259.0,-265.0,0
Open,Trade Show,SDR,Sales,5,2,3,1,594,770,-550.0,-570.0,1
Qualified,Outbound,BDR,Sales,1,0,1,0,898,-597,-68.0,-80.0,1
Nurturing,Partner Referral,SDR,Sales,6,3,3,1,518,920,-483.0,-500.0,1
Open,Outbound,SDR,Sales,4,3,1,1,825,718,-763.0,-771.0,1
Qualified,Outbound,BDR,Sales,7,6,1,1,3,599,81.0,64.0,1
Open,Inbound,AE,Sales,3,1,2,2,42,1638,613.0,589.0,1
Open,Event,SDR,Sales,5,2,3,2,831,-408,-721.0,-748.0,1
Working,Inbound,BDR,Sales,6,2,4,2,1348,-434,-1152.0,-1166.0,0
Working,Outbound,SDR,Sales,2,2,0,1,1353,-1070,-463.0,-468.0,0
Nurturing,Web,SDR,Sales,3,2,1,2,13,1582,1175.0,1155.0,1
Working,Web,SDR,Sales,5,2,3,3,144,410,40.0,29.0,0
Open,Event,BDR,Sales,2,0,2,1,1458,-722,-1205.0,-1213.0,0
Qualified,Partner Referral,SDR,Sales,2,1,1,0,1141,-1126,-1098.0,-1112.0,1
Qualified,Trade Show,BDR,Sales,4,2,2,3,592,100,-426.0,-454.0,1
Working,Outbound,BDR,Sales,5,4,1,1,21,543,160.0,159.0,1
Open,Outbound,SDR,Sales,5,2,3,0,413,-29,-77.0,-81.0,1
Qualified,Inbound,SDR,Sales,6,3,3,2,974,-179,-963.0,-991.0,0
Working,Outbound,SDR,Sales,4,2,2,1,1104,439,-892.0,-914.0,1
Qualified,Trade Show,SDR,Sales,8,2,6,4,82,927,321.0,316.0,0
Open,Outbound,SDR,Sales,1,0,1,1,82,1282,1322.0,1318.0,1
Working,Partner Referral,AE,Sales,4,1,3,2,1088,-394,-524.0,-544.0,1
Working,Trade Show,BDR,Sales,4,3,1,0,1338,-1302,-1108.0,-1111.0,0
Qualified,Web,SDR,Sales,4,0,4,1,439,356,12.0,-15.0,0
Nurturing,Partner Referral,BDR,Sales,6,3,3,3,937,-335,-800.0,-819.0,0
Working,Web,BDR,Sales,6,2,4,2,624,369,-642.0,-648.0,1
Working,Trade Show,SDR,Sales,3,2,1,2,1251,-456,-1202.0,-1207.0,1
Qualified,Partner Referral,SDR,Sales,3,1,2,0,1242,-735,-1206.0,-1207.0,1
Qualified,Inbound,BDR,Sales,4,2,2,1,763,470,-690.0,-716.0,0
Working,Partner Referral,SDR,Sales,4,0,4,1,301,385,-73.0,-80.0,0
Open,Partner Referral,BDR,Sales,2,1,1,0,325,982,309.0,279.0,0
Nurturing,Event,SDR,Sales,0,0,0,0,91,1444,,,0
Qualified,Trade Show,SDR,Sales,7,4,3,3,28,475,81.0,61.0,1
Qualified,Event,BDR,Sales,2,1,1,1,1039,-329,-926.0,-931.0,0
Nurturing,Partner Referral,SDR,Sales,8,5,3,2,1161,-974,-886.0,-903.0,0
Qualified,Partner Referral,BDR,Sales,4,4,0,2,1457,-688,-498.0,-519.0,1
Nurturing,Trade Show,AE,Sales,4,1,3,0,375,-78,-267.0,-272.0,1
Working,Event,SDR,Sales,2,0,2,0,756,570,-506.0,-530.0,1
Working,Trade Show,BDR,Sales,2,1,1,2,548,803,-250.0,-258.0,0
Working,Inbound,SDR,Sales,4,1,3,1,1050,399,-1077.0,-1081.0,0
Qualified,Web,BDR,Sales,4,4,0,2,1286,-801,-1302.0,-1305.0,0
Qualified,Inbound,BDR,Sales,4,3,1,2,210,704,-160.0,-177.0,0
Working,Event,SDR,Sales,4,2,2,2,198,126,-101.0,-104.0,1
Open,Event,SDR,Sales,4,1,3,1,655,51,-551.0,-566.0,0
Qualified,Partner Referral,BDR,Sales,2,1,1,1,1277,-1346,-443.0,-473.0,0
Working,Event,BDR,Sales,2,0,2,0,1426,-1081,-322.0,-352.0,0
Qualified,Partner Referral,SDR,Sales,5,4,1,2,1023,-121,-867.0,-890.0,1
Qualified,Web,AE,Sales,2,1,1,1,604,380,-534.0,-556.0,1
Working,Event,BDR,Sales,0,0,0,0,920,313,,,1
Open,Outbound,SDR,Sales,3,3,0,1,76,1454,160.0,143.0,0
Nurturing,Trade Show,AE,Sales,5,3,2,2,48,1049,378.0,369.0,0
Open,Inbound,SDR,Sales,4,1,3,1,982,467,-872.0,-891.0,1
Working,Trade Show,SDR,Sales,2,0,2,0,510,-471,-58.0,-64.0,0
Open,Event,SDR,Sales,3,2,1,2,357,928,-354.0,-360.0,1
Open,Web,BDR,Sales,2,2,0,0,1312,146,-844.0,-865.0,0
Working,Event,SDR,Sales,5,2,3,1,1117,306,-689.0,-700.0,1
Open,Partner Referral,SDR,Sales,5,2,3,1,217,269,-132.0,-142.0,0
Open,Partner Referral,SDR,Sales,2,0,2,1,986,-151,-74.0,-85.0,0
Open,Inbound,BDR,Sales,4,1,3,3,1176,-596,-758.0,-761.0,1
Working,Web,BDR,Sales,2,2,0,0,1449,-835,-1226.0,-1252.0,1
Qualified,Partner Referral,SDR,Sales,2,1,1,1,425,477,664.0,640.0,1
Qualified,Outbound,SDR,Sales,4,1,3,1,1209,-202,-733.0,-750.0,0
Nurturing,Event,SDR,Sales,3,3,0,1,162,-149,1041.0,1016.0,1
Nurturing,Web,SDR,Sales,5,0,5,3,275,1279,-93.0,-111.0,0
Nurturing,Outbound,BDR,Sales,2,0,2,1,24,495,609.0,601.0,1
Open,Web,BDR,Sales,2,2,0,0,1201,-1121,-962.0,-982.0,1
Qualified,Partner Referral,BDR,Sales,0,0,0,0,755,-345,,,1
Working,Trade Show,BDR,Sales,6,2,4,2,1024,-522,-829.0,-839.0,1
Open,Event,SDR,Sales,3,1,2,2,494,1060,632.0,627.0,0
Qualified,Web,BDR,Sales,4,3,1,1,897,-35,-761.0,-783.0,1
Open,Web,SDR,Sales,1,0,1,0,794,258,136.0,111.0,1
Nurturing,Partner Referral,BDR,Sales,4,2,2,2,116,369,569.0,550.0,0
Nurturing,Trade Show,SDR,Sales,1,1,0,0,254,1397,99.0,82.0,0
Working,Trade Show,BDR,Sales,0,0,0,0,707,52,,,0
Qualified,Trade Show,SDR,Sales,3,2,1,2,899,282,-280.0,-291.0,0
Working,Outbound,AE,Sales,1,1,0,0,895,1,28.0,10.0,0
Open,Inbound,BDR,Sales,2,1,1,1,15,470,204.0,201.0,0
Working,Partner Referral,SDR,Sales,5,4,1,2,138,625,21.0,7.0,1
Open,Trade Show,BDR,Sales,5,1,4,3,1149,-375,-1080.0,-1094.0,1
Qualified,Outbound,SDR,Sales,3,2,1,1,1202,61,-1108.0,-1137.0,1
Qualified,Event,BDR,Sales,3,1,2,1,670,396,-575.0,-590.0,0
Qualified,Outbound,BDR,Sales,3,2,1,0,872,-106,-812.0,-827.0,1
Nurturing,Event,BDR,Sales,6,2,4,3,1015,429,-959.0,-963.0,0
Nurturing,Outbound,SDR,Sales,3,1,2,1,1291,-282,-1006.0,-1019.0,1
Nurturing,Outbound,SDR,Sales,0,0,0,0,330,-252,,,1
Working,Outbound,BDR,Sales,6,3,3,0,210,365,52.0,40.0,1
Open,Event,SDR,Sales,5,3,2,2,1375,-689,-1332.0,-1350.0,0
Working,Web,BDR,Sales,2,2,0,0,876,-848,-428.0,-442.0,0
Working,Outbound,BDR,Sales,7,5,2,3,1236,208,-1176.0,-1188.0,1
Nurturing,Event,AE,Sales,6,5,1,3,674,253,-343.0,-346.0,0
Open,Event,SDR,Sales,4,2,2,0,137,50,274.0,260.0,0
Working,Inbound,SDR,Sales,3,2,1,0,1223,307,-653.0,-673.0,0
Open,Partner Referral,SDR,Sales,8,5,3,5,1299,-14,-944.0,-958.0,0
Nurturing,Event,BDR,Sales,3,3,0,0,36,733,243.0,230.0,1
Working,Partner Referral,BDR,Sales,3,1,2,1,632,923,-321.0,-329.0,1
Open,Inbound,BDR,Sales,1,0,1,0,788,-759,-244.0,-250.0,0
Working,Partner Referral,BDR,Sales,1,0,1,0,1377,-311,-447.0,-468.0,0
Open,Event,SDR,Sales,5,2,3,2,403,-297,-354.0,-367.0,0
Working,Event,SDR,Sales,2,0,2,0,89,1092,291.0,270.0,1
Qualified,Web,BDR,Sales,3,0,3,1,800,-34,-717.0,-747.0,0
Nurturing,Partner Referral,SDR,Sales,4,3,1,2,708,432,-671.0,-677.0,1
Open,Trade Show,SDR,Sales,1,0,1,0,1248,-1061,-1125.0,-1148.0,0
Qualified,Event,SDR,Sales,4,2,2,1,396,1010,-389.0,-415.0,0
Open,Partner Referral,SDR,Sales,3,2,1,0,1167,-101,-1131.0,-1149.0,0
Qualified,Inbound,SDR,Sales,3,0,3,2,789,688,-404.0,-413.0,1
Working,Web,SDR,Sales,3,0,3,0,341,43,505.0,492.0,0
Open,Trade Show,SDR,Sales,3,0,3,1,870,-430,-670.0,-700.0,1
Nurturing,Event,SDR,Sales,3,1,2,1,1363,-1326,-1353.0,-1374.0,0
Nurturing,Inbound,AE,Sales,2,1,1,1,1090,-652,-268.0,-278.0,1
Nurturing,Partner Referral,AE,Sales,6,3,3,1,1126,-779,-977.0,-980.0,1
Nurturing,Inbound,AE,Sales,4,0,4,0,722,-244,-708.0,-737.0,0
Open,Partner Referral,SDR,Sales,6,3,3,1,835,471,-848.0,-865.0,1
Open,Inbound,BDR,Sales,3,3,0,0,338,161,159.0,140.0,0
Qualified,Event,BDR,Sales,2,2,0,1,1257,-395,-409.0,-412.0,0
Open,Partner Referral,SDR,Sales,5,3,2,3,1282,-457,-1079.0,-1097.0,0
Working,Web,BDR,Sales,4,3,1,1,101,673,423.0,413.0,1
Working,Event,AE,Sales,3,2,1,1,1317,104,-1183.0,-1200.0,0
Working,Outbound,SDR,Sales,1,0,1,0,804,-142,32.0,22.0,0
Qualified,Inbound,AE,Sales,4,1,3,1,686,806,-389.0,-390.0,1
Qualified,Web,AE,Sales,5,3,2,2,433,923,-321.0,-328.0,0
Working,Trade Show,SDR,Sales,4,2,2,1,277,548,-254.0,-267.0,0
Working,Web,SDR,Sales,3,2,1,3,1078,-524,-995.0,-996.0,1
Qualified,Event,SDR,Sales,4,1,3,2,194,858,-53.0,-62.0,0
Open,Outbound,SDR,Sales,3,2,1,1,15,769,586.0,585.0,0
Working,Web,SDR,Sales,4,1,3,1,102,891,260.0,237.0,0
Open,Outbound,BDR,Sales,1,1,0,0,1128,-62,-502.0,-527.0,0
Qualified,Outbound,SDR,Sales,3,2,1,0,623,-505,-478.0,-484.0,0
Open,Event,BDR,Sales,3,2,1,1,524,1031,442.0,420.0,0
Qualified,Inbound,BDR,Sales,4,2,2,1,543,-310,-423.0,-452.0,1
Nurturing,Trade Show,SDR,Sales,7,4,3,2,230,-152,610.0,591.0,1
Open,Outbound,SDR,Sales,4,3,1,1,1183,-174,-884.0,-896.0,1
Working,Inbound,SDR,Sales,3,2,1,2,872,-109,-570.0,-578.0,0
Working,Partner Referral,SDR,Sales,3,2,1,1,931,-916,-833.0,-845.0,0
Open,Partner Referral,SDR,Sales,2,1,1,1,589,404,-588.0,-595.0,0
Qualified,Event,BDR,Sales,4,1,3,2,153,1291,378.0,366.0,0
Nurturing,Trade Show,BDR,Sales,1,1,0,0,731,-467,152.0,132.0,0
Open,Trade Show,SDR,Sales,2,0,2,2,49,958,86.0,73.0,0
Working,Trade Show,SDR,Sales,3,3,0,1,409,388,45.0,23.0,0
Nurturing,Web,BDR,Sales,2,0,2,2,808,-407,-742.0,-748.0,1
Qualified,Inbound,SDR,Sales,3,1,2,0,823,186,176.0,163.0,1
Qualified,Inbound,SDR,Sales,5,2,3,1,106,1075,428.0,408.0,0
Nurturing,Inbound,SDR,Sales,3,1,2,2,177,-138,257.0,245.0,1
Nurturing,Trade Show,BDR,Sales,5,4,1,2,1154,-395,-1063.0,-1078.0,0
Qualified,Partner Referral,BDR,Sales,3,1,2,0,242,-262,3.0,-4.0,1
Nurturing,Web,SDR,Sales,1,0,1,0,1199,-404,-48.0,-76.0,1
Working,Trade Show,SDR,Sales,3,0,3,1,99,587,351.0,339.0,1
Working,Trade Show,SDR,Sales,6,2,4,2,1367,-460,-1343.0,-1353.0,0
Qualified,Outbound,BDR,Sales,1,0,1,0,652,891,674.0,672.0,1
Working,Event,BDR,Sales,4,2,2,2,297,724,-54.0,-56.0,0
Nurturing,Trade Show,AE,Sales,3,1,2,2,1402,-855,-1180.0,-1204.0,0
Qualified,Trade Show,SDR,Sales,5,3,2,3,176,1273,129.0,102.0,0
Working,Trade Show,BDR,Sales,2,1,1,0,1028,-262,-296.0,-306.0,0
Open,Outbound,SDR,Sales,3,1,2,2,656,939,-340.0,-366.0,0
Open,Partner Referral,AE,Sales,3,1,2,0,1153,-655,-273.0,-295.0,0
Nurturing,Outbound,BDR,Sales,4,3,1,1,73,619,562.0,552.0,1
Working,Trade Show,BDR,Sales,7,3,4,1,122,377,191.0,189.0,1
Nurturing,Partner Referral,SDR,Sales,10,6,4,3,839,-800,-846.0,-848.0,0
Nurturing,Outbound,SDR,Sales,7,5,2,3,76,1467,-59.0,-66.0,1
Open,Web,BDR,Sales,3,0,3,3,27,902,1187.0,1186.0,0
Open,Event,BDR,Sales,5,3,2,4,800,-281,-713.0,-731.0,1
Open,Event,SDR,Sales,2,2,0,1,1308,246,-1157.0,-1159.0,0
Working,Inbound,BDR,Sales,2,1,1,0,886,-387,-795.0,-797.0,0
Qualified,Outbound,BDR,Sales,3,2,1,1,1375,-1346,-1268.0,-1273.0,0
Nurturing,Event,BDR,Sales,2,0,2,0,463,1081,-362.0,-390.0,0
Nurturing,Event,BDR,Sales,6,3,3,4,556,373,68.0,58.0,0
Open,Web,SDR,Sales,9,4,5,3,439,-249,-380.0,-405.0,1
Nurturing,Inbound,BDR,Sales,2,1,1,1,0,1528,587.0,558.0,1
Open,Trade Show,SDR,Sales,3,1,2,1,801,265,-109.0,-139.0,1
Working,Web,BDR,Sales,2,2,0,1,554,-321,735.0,720.0,1
Working,Web,SDR,Sales,3,1,2,2,1047,496,-911.0,-922.0,1
