status,lead_source,lead_owner_id,owner_role,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_age_bucket,task_count_bucket,lead_is_converted
Working,Web,005w1rZfJkoRoaYcEo,BDR,3,2,1,1,1090,453,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0027497708524289,0.0009165902841429,0.0066079295154185,1.0,1.0,730_plus,3_5,1
Qualified,Partner Referral,0052vuTGNhPaf9DJtR,SDR,4,1,3,2,556,-450,0.0,0.0,0.25,0.75,0.5,0.0071813285457809,0.0035906642728904,-0.0089086859688195,1.0,1.0,366_730,3_5,1
Open,Outbound,005nz6ixedb0ulRU2P,BDR,4,4,0,3,251,1366,131.0,115.0,1.0,0.0,0.75,0.0158730158730158,0.0119047619047619,0.0029261155815654,0.008620689655172414,0.007575757575757576,181_365,3_5,0
Qualified,Inbound,005ponU3oUJcEecoTy,AE,3,2,1,1,1342,-864,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0022338049143708,0.0007446016381236,-0.0034762456546929,1.0,1.0,730_plus,3_5,0
Qualified,Event,005BLRswT6VWAL3Jkq,BDR,4,2,2,1,1124,-388,0.0,0.0,0.5,0.5,0.25,0.0035555555555555,0.0008888888888888,-0.0103359173126615,1.0,1.0,730_plus,3_5,0
Qualified,Trade Show,005SW3xD3pVRHzXb4Z,SDR,6,4,2,4,147,1291,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0405405405405405,0.027027027027027,0.0046439628482972,1.0,1.0,91_180,6_10,1
Working,Web,005EF1FFbGvvXzIjDl,SDR,4,2,2,1,318,748,73.0,51.0,0.5,0.5,0.25,0.012539184952978,0.0031347962382445,0.0053404539385847,0.019230769230769232,0.013513513513513514,181_365,3_5,0
Nurturing,Inbound,005aV0dZauGUbUqQX9,SDR,4,3,1,1,1006,-778,0.0,0.0,0.75,0.25,0.25,0.0039721946375372,0.0009930486593843,-0.0051480051480051,1.0,1.0,730_plus,3_5,0
Nurturing,Web,005SotgxabsZFoiinJ,BDR,6,3,3,1,271,213,0.0,0.0,0.5,0.5,0.1666666666666666,0.0220588235294117,0.0036764705882352,0.02803738317757,1.0,1.0,181_365,6_10,1
Nurturing,Event,005ZgXPYFXOBU7G1tp,BDR,7,4,3,2,468,134,0.0,0.0,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.0149253731343283,0.0042643923240938,0.0518518518518518,1.0,1.0,366_730,6_10,1
Open,Inbound,005Cu36WnbRoy8DEqo,SDR,4,0,4,1,763,-16,0.0,0.0,0.0,1.0,0.25,0.0052356020942408,0.0013089005235602,-0.2666666666666666,1.0,1.0,730_plus,3_5,0
Qualified,Inbound,005Jf9CIg9lV3G32cG,BDR,2,1,1,0,807,186,0.0,0.0,0.5,0.5,0.0,0.0024752475247524,0.0,0.0106951871657754,1.0,1.0,730_plus,1_2,0
Working,Partner Referral,005r9q3iIp3WHLiZhI,SDR,2,1,1,0,1195,211,0.0,0.0,0.5,0.5,0.0,0.0016722408026755,0.0,0.0094339622641509,1.0,1.0,730_plus,1_2,1
Open,Partner Referral,005mzHykyCWibqXEgp,BDR,2,2,0,1,698,-84,0.0,0.0,1.0,0.0,0.5,0.0028612303290414,0.0014306151645207,-0.0240963855421686,1.0,1.0,366_730,1_2,0
Qualified,Partner Referral,005H18uJWTVdyNheWe,BDR,7,5,2,4,539,-424,73.0,66.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0129629629629629,0.0074074074074074,-0.0165484633569739,0.014925373134328358,0.013513513513513514,366_730,6_10,1
Open,Trade Show,005mm9vtHx0K9TGlB7,SDR,4,1,3,4,329,225,0.0,0.0,0.25,0.75,1.0,0.0121212121212121,0.0121212121212121,0.0176991150442477,1.0,1.0,181_365,3_5,1
Qualified,Trade Show,005vvizm5OfORbfBYV,SDR,3,2,1,1,1037,248,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0028901734104046,0.0009633911368015,0.0120481927710843,1.0,1.0,730_plus,3_5,1
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,3,1,2,2,1412,-231,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0021231422505307,0.0014154281670205,-0.0130434782608695,1.0,1.0,730_plus,3_5,0
Open,Web,005EhkAnpKcWuNovJ6,BDR,2,1,1,0,280,479,0.0,0.0,0.5,0.5,0.0,0.0071174377224199,0.0,0.0041666666666666,1.0,1.0,181_365,1_2,0
Open,Trade Show,005voBFvhNYadVKXTu,BDR,4,2,2,2,1409,-829,0.0,0.0,0.5,0.5,0.5,0.0028368794326241,0.001418439716312,-0.0048309178743961,1.0,1.0,730_plus,3_5,1
Working,Trade Show,005GkgNJqeO2GW2jXH,SDR,3,2,1,0,449,1028,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0066666666666666,0.0,0.0029154518950437,1.0,1.0,366_730,3_5,1
Qualified,Partner Referral,0050fGb9Xo51dtJbLu,AE,6,3,3,2,545,439,0.0,0.0,0.5,0.5,0.3333333333333333,0.0109890109890109,0.0036630036630036,0.0136363636363636,1.0,1.0,366_730,6_10,0
Working,Outbound,005bo0fFeWaVUqG2KV,SDR,7,5,2,5,48,711,21.0,0.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.1428571428571428,0.1020408163265306,0.0098314606741573,1.0,0.045454545454545456,31_90,6_10,1
Open,Partner Referral,005d2TMY2eGPYkWkSs,AE,5,3,2,1,1065,-545,0.0,0.0,0.6,0.4,0.2,0.0046904315196998,0.0009380863039399,-0.0091911764705882,1.0,1.0,730_plus,3_5,1
Open,Outbound,005SotgxabsZFoiinJ,BDR,2,2,0,1,504,-20,0.0,0.0,1.0,0.0,0.5,0.0039603960396039,0.0019801980198019,-0.1052631578947368,1.0,1.0,366_730,1_2,0
Working,Trade Show,005r8kcdxSxYgha9K0,SDR,1,1,0,0,812,-488,388.0,384.0,1.0,0.0,0.0,0.001230012300123,0.0,-0.002053388090349,0.0025974025974025974,0.002570694087403599,730_plus,1_2,1
Working,Web,005aABhuRiSBg0srbz,SDR,4,1,3,2,413,-130,0.0,0.0,0.25,0.75,0.5,0.0096618357487922,0.0048309178743961,-0.0310077519379844,1.0,1.0,366_730,3_5,0
Nurturing,Web,005O8TxStNstfUeWj7,BDR,7,4,3,1,694,850,0.0,0.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.0100719424460431,0.0014388489208633,0.008225616921269,1.0,1.0,366_730,6_10,0
Qualified,Inbound,005g4fdGzuew1U6NXU,SDR,5,3,2,0,1090,-327,0.0,0.0,0.6,0.4,0.0,0.0045829514207149,0.0,-0.0153374233128834,1.0,1.0,730_plus,3_5,1
Working,Inbound,005gXBXTL8NV8xfMOI,BDR,5,2,3,2,1362,-1129,0.0,0.0,0.4,0.6,0.4,0.0036683785766691,0.0014673514306676,-0.0044326241134751,1.0,1.0,730_plus,3_5,1
Nurturing,Outbound,005sbu92PDPF7bHdnm,BDR,7,2,5,1,106,-78,49.0,39.0,0.2857142857142857,0.7142857142857143,0.1428571428571428,0.0654205607476635,0.0093457943925233,-0.0909090909090909,0.025,0.02,91_180,6_10,0
Nurturing,Inbound,005F4DJKwnDrFRcqbf,BDR,6,4,2,1,463,696,0.0,0.0,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0129310344827586,0.0021551724137931,0.0086083213773314,1.0,1.0,366_730,6_10,1
Working,Web,005gYdlj9yv5Cc6zkp,BDR,6,2,4,2,989,-688,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.006060606060606,0.002020202020202,-0.0087336244541484,1.0,1.0,730_plus,6_10,0
Open,Web,005chtXE6kHD1j5gMk,BDR,3,0,3,0,824,191,0.0,0.0,0.0,1.0,0.0,0.0036363636363636,0.0,0.015625,1.0,1.0,730_plus,3_5,1
Working,Outbound,005a88RCsXNcc8P2XG,BDR,5,3,2,0,702,618,0.0,0.0,0.6,0.4,0.0,0.0071123755334281,0.0,0.0080775444264943,1.0,1.0,366_730,3_5,1
Nurturing,Outbound,005ITUm8sMeUL9Z9US,AE,3,2,1,2,1381,40,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0021707670043415,0.0014471780028943,0.073170731707317,1.0,1.0,730_plus,3_5,0
Working,Event,005uzGGUX4TIYx0w3I,AE,1,0,1,0,1226,3,246.0,228.0,0.0,1.0,0.0,0.0008149959250203,0.0,0.25,0.004366812227074236,0.004048582995951417,730_plus,1_2,1
Qualified,Trade Show,005M1BnJPIeqHk8Nds,SDR,0,0,0,0,254,186,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181_365,0,1
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,4,3,1,0,778,403,0.0,0.0,0.75,0.25,0.0,0.0051347881899871,0.0,0.0099009900990099,1.0,1.0,730_plus,3_5,1
Open,Inbound,005w1rZfJkoRoaYcEo,BDR,3,3,0,2,225,1318,48.0,37.0,1.0,0.0,0.6666666666666666,0.0132743362831858,0.0088495575221238,0.0022744503411675,0.02631578947368421,0.02040816326530612,181_365,3_5,0
Nurturing,Trade Show,005vvizm5OfORbfBYV,SDR,7,5,2,4,87,1198,0.0,0.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0795454545454545,0.0454545454545454,0.0058381984987489,1.0,1.0,31_90,6_10,1
Qualified,Partner Referral,005CyM4CU7TgZ0ieQC,BDR,5,1,4,2,847,611,0.0,0.0,0.2,0.8,0.4,0.0058962264150943,0.0023584905660377,0.0081699346405228,1.0,1.0,730_plus,3_5,0
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,6,4,2,2,38,1143,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1538461538461538,0.0512820512820512,0.0052447552447552,1.0,1.0,31_90,6_10,1
Working,Trade Show,005IAWyyPlUBLQDIva,SDR,1,0,1,0,999,-6,285.0,278.0,0.0,1.0,0.0,0.001,0.0,-0.2,0.0035842293906810036,0.0034965034965034965,730_plus,1_2,0
Nurturing,Outbound,005k1Pfjp8rVQw0f9u,BDR,1,1,0,0,1402,-172,0.0,0.0,1.0,0.0,0.0,0.0007127583749109,0.0,-0.0058479532163742,1.0,1.0,730_plus,1_2,0
Working,Outbound,005oRycfOWj8YbLrlq,AE,7,4,3,1,803,-109,0.0,0.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.0087064676616915,0.0012437810945273,-0.0648148148148148,1.0,1.0,730_plus,6_10,1
Nurturing,Trade Show,005eP2OT2tJzd6Dja9,BDR,1,0,1,0,729,40,0.0,0.0,0.0,1.0,0.0,0.0013698630136986,0.0,0.024390243902439,1.0,1.0,366_730,1_2,1
Working,Web,005XZUpRP9HBvLfhY6,BDR,6,2,4,4,1108,-42,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0054102795311091,0.0036068530207394,-0.1463414634146341,1.0,1.0,730_plus,6_10,0
Nurturing,Partner Referral,005Cu36WnbRoy8DEqo,SDR,3,1,2,1,545,202,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0054945054945054,0.0018315018315018,0.0147783251231527,1.0,1.0,366_730,3_5,1
Working,Partner Referral,005JwwpEL8xofdwkwl,SDR,4,1,3,3,122,713,283.0,253.0,0.25,0.75,0.75,0.032520325203252,0.024390243902439,0.0056022408963585,0.003937007874015748,0.0035211267605633804,91_180,3_5,1
Qualified,Event,005CyM4CU7TgZ0ieQC,BDR,2,1,1,0,39,1419,95.0,83.0,0.5,0.5,0.0,0.05,0.0,0.0014084507042253,0.011904761904761904,0.010416666666666666,31_90,1_2,0
Working,Web,005bZBvn4MclbYAtNN,SDR,1,1,0,1,518,-32,164.0,148.0,1.0,0.0,1.0,0.001926782273603,0.001926782273603,-0.032258064516129,0.006711409395973154,0.006060606060606061,366_730,1_2,0
Working,Trade Show,005XY6JL792Cjz6tvp,BDR,2,1,1,1,962,-188,0.0,0.0,0.5,0.5,0.5,0.0020768431983385,0.0010384215991692,-0.0106951871657754,1.0,1.0,730_plus,1_2,0
Qualified,Inbound,005XY6JL792Cjz6tvp,BDR,3,1,2,3,1142,-368,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0026246719160104,0.0026246719160104,-0.0081743869209809,1.0,1.0,730_plus,3_5,0
Working,Outbound,005dJm5gIU7nUKZnv1,AE,6,4,2,0,1348,-820,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0044477390659747,0.0,-0.0073260073260073,1.0,1.0,730_plus,6_10,1
Open,Inbound,005mzHykyCWibqXEgp,BDR,4,3,1,3,65,549,846.0,837.0,0.75,0.25,0.75,0.0606060606060606,0.0454545454545454,0.0072727272727272,0.0011933174224343676,0.0011806375442739079,31_90,3_5,1
Working,Inbound,005SW3xD3pVRHzXb4Z,SDR,6,3,3,2,1450,-12,0.0,0.0,0.5,0.5,0.3333333333333333,0.0041350792556857,0.0013783597518952,-0.5454545454545454,1.0,1.0,730_plus,6_10,0
Qualified,Outbound,005FA8TcXwRGIFLbcj,SDR,6,3,3,0,1202,-150,0.0,0.0,0.5,0.5,0.0,0.0049875311720698,0.0,-0.0402684563758389,1.0,1.0,730_plus,6_10,0
Nurturing,Web,005sbu92PDPF7bHdnm,BDR,6,2,4,1,1370,-1342,0.0,0.0,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.0043763676148796,0.0007293946024799,-0.0044742729306487,1.0,1.0,730_plus,6_10,1
Qualified,Inbound,005v0k6ScHdsTsZ8Rg,AE,2,2,0,0,399,622,769.0,766.0,1.0,0.0,0.0,0.005,0.0,0.0032102728731942,0.001303780964797914,0.0012987012987012987,366_730,1_2,0
Qualified,Trade Show,005YgcwjR0nrnHIGZX,SDR,7,1,6,3,54,1489,97.0,71.0,0.1428571428571428,0.8571428571428571,0.4285714285714285,0.1272727272727272,0.0545454545454545,0.0046979865771812,0.013888888888888888,0.01020408163265306,31_90,6_10,1
Qualified,Event,005mYnZlHWW2dnL0rt,BDR,3,1,2,3,637,918,109.0,108.0,0.3333333333333333,0.6666666666666666,1.0,0.0047021943573667,0.0047021943573667,0.0032644178454842,0.009174311926605505,0.00909090909090909,366_730,3_5,1
Qualified,Inbound,005RYrmmC3EMzwluqj,BDR,2,1,1,1,191,169,0.0,0.0,0.5,0.5,0.5,0.0104166666666666,0.0052083333333333,0.0117647058823529,1.0,1.0,181_365,1_2,1
Open,Web,005T3CcQW30Fc3HxzP,BDR,4,1,3,2,420,-75,0.0,0.0,0.25,0.75,0.5,0.009501187648456,0.004750593824228,-0.054054054054054,1.0,1.0,366_730,3_5,0
Qualified,Outbound,005BLRswT6VWAL3Jkq,BDR,6,2,4,2,747,-11,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0080213903743315,0.0026737967914438,-0.6,1.0,1.0,730_plus,6_10,1
Nurturing,Inbound,005tRa1eePdjJYM6mg,BDR,1,0,1,1,739,705,207.0,196.0,0.0,1.0,1.0,0.0013513513513513,0.0013513513513513,0.0014164305949008,0.005076142131979695,0.004807692307692308,730_plus,1_2,1
Nurturing,Trade Show,005sbu92PDPF7bHdnm,BDR,2,1,1,0,1243,-1215,0.0,0.0,0.5,0.5,0.0,0.0016077170418006,0.0,-0.0016474464579901,1.0,1.0,730_plus,1_2,0
Nurturing,Web,005SzPtEFRJYtyoJvY,BDR,2,1,1,1,107,457,84.0,76.0,0.5,0.5,0.5,0.0185185185185185,0.0092592592592592,0.0043668122270742,0.012987012987012988,0.011764705882352941,91_180,1_2,1
Nurturing,Event,005RpFPjmmumSx8sB2,AE,5,1,4,3,1233,417,0.0,0.0,0.2,0.8,0.6,0.0040518638573743,0.0024311183144246,0.0119617224880382,1.0,1.0,730_plus,3_5,1
Nurturing,Web,005RNwgHWbHSrrlfhq,BDR,6,4,2,1,409,138,0.0,0.0,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0146341463414634,0.0024390243902439,0.0431654676258992,1.0,1.0,366_730,6_10,1
Qualified,Event,005GkgNJqeO2GW2jXH,SDR,7,3,4,1,1040,437,0.0,0.0,0.4285714285714285,0.5714285714285714,0.1428571428571428,0.0067243035542747,0.0009606147934678,0.0159817351598173,1.0,1.0,730_plus,6_10,0
Working,Event,005VLfsfX7zhRzFubF,SDR,1,1,0,0,381,416,762.0,740.0,1.0,0.0,0.0,0.0026178010471204,0.0,0.0023980815347721,0.001349527665317139,0.001310615989515072,366_730,1_2,0
Open,Event,0059wV9ybGAGQOgvhj,BDR,1,0,1,1,100,1004,458.0,431.0,0.0,1.0,1.0,0.0099009900990099,0.0099009900990099,0.0009950248756218,0.0023148148148148147,0.002178649237472767,91_180,1_2,0
Open,Web,005iRmiKUtSSkR82g5,BDR,3,0,3,2,382,925,0.0,0.0,0.0,1.0,0.6666666666666666,0.0078328981723237,0.0052219321148825,0.0032397408207343,1.0,1.0,366_730,3_5,0
Qualified,Trade Show,005FmC4bvUmQBFO9r1,BDR,3,1,2,1,768,910,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0039011703511053,0.0013003901170351,0.0032930845225027,1.0,1.0,730_plus,3_5,0
Qualified,Trade Show,005RNwgHWbHSrrlfhq,BDR,3,0,3,0,1264,-717,0.0,0.0,0.0,1.0,0.0,0.0023715415019762,0.0,-0.0041899441340782,1.0,1.0,730_plus,3_5,1
Qualified,Event,005ZhFZ3TvVOVxKEgo,SDR,1,1,0,0,48,101,852.0,829.0,1.0,0.0,0.0,0.0204081632653061,0.0,0.0098039215686274,0.0012048192771084338,0.0011723329425556857,31_90,1_2,1
Open,Event,005YgcwjR0nrnHIGZX,SDR,0,0,0,0,1014,529,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730_plus,0,1
Working,Event,005lwhmSG1MSOXLTAt,SDR,3,2,1,2,1019,-10,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0029411764705882,0.0019607843137254,-0.3333333333333333,1.0,1.0,730_plus,3_5,1
Working,Trade Show,005Cu36WnbRoy8DEqo,SDR,5,1,4,2,672,75,0.0,0.0,0.2,0.8,0.4,0.0074294205052005,0.0029717682020802,0.0657894736842105,1.0,1.0,366_730,3_5,0
Nurturing,Partner Referral,005tcchhnKXX6SYaxV,SDR,4,3,1,1,636,670,506.0,477.0,0.75,0.25,0.25,0.0062794348508634,0.0015698587127158,0.0059612518628912,0.0020920502092050207,0.0019723865877712033,366_730,3_5,1
Open,Trade Show,005mbGysH2pp4xju3N,SDR,2,2,0,0,0,796,157.0,140.0,1.0,0.0,0.0,2.0,0.0,0.0025094102885821,0.0070921985815602835,0.006329113924050633,0_30,1_2,0
Working,Inbound,0052vuTGNhPaf9DJtR,SDR,5,5,0,3,259,-153,0.0,0.0,1.0,0.0,0.6,0.0192307692307692,0.0115384615384615,-0.0328947368421052,1.0,1.0,181_365,3_5,1
Nurturing,Partner Referral,005EQtkoEfdgXDf2kK,AE,2,2,0,2,1196,-527,0.0,0.0,1.0,0.0,1.0,0.0016708437761069,0.0016708437761069,-0.0038022813688212,1.0,1.0,730_plus,1_2,1
Qualified,Outbound,005bo0fFeWaVUqG2KV,SDR,2,1,1,1,1066,-307,0.0,0.0,0.5,0.5,0.5,0.0018744142455482,0.0009372071227741,-0.0065359477124183,1.0,1.0,730_plus,1_2,0
Open,Partner Referral,005T3CcQW30Fc3HxzP,BDR,3,3,0,1,399,-54,140.0,115.0,1.0,0.0,0.3333333333333333,0.0075,0.0025,-0.0566037735849056,0.008620689655172414,0.0070921985815602835,366_730,3_5,1
Working,Partner Referral,005lkDbq9IPSQ2U7zZ,BDR,4,3,1,2,615,736,0.0,0.0,0.75,0.25,0.5,0.0064935064935064,0.0032467532467532,0.005427408412483,1.0,1.0,366_730,3_5,0
Nurturing,Outbound,005eGrxIA9j7Kap744,AE,5,1,4,0,1107,-217,0.0,0.0,0.2,0.8,0.0,0.0045126353790613,0.0,-0.0231481481481481,1.0,1.0,730_plus,3_5,1
Nurturing,Outbound,005uK1d6IniB6ZlkqB,SDR,0,0,0,0,1109,-1022,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,730_plus,0,0
Open,Partner Referral,005tRa1eePdjJYM6mg,BDR,0,0,0,0,168,1276,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91_180,0,1
Nurturing,Web,005CS61es1IwtecnA5,SDR,2,2,0,0,623,-545,604.0,593.0,1.0,0.0,0.0,0.0032051282051282,0.0,-0.0036764705882352,0.0016835016835016834,0.001652892561983471,366_730,1_2,1
Nurturing,Outbound,005f9kyPUYR0yZXH7k,SDR,3,0,3,2,1248,-923,0.0,0.0,0.0,1.0,0.6666666666666666,0.0024019215372297,0.0016012810248198,-0.0032537960954446,1.0,1.0,730_plus,3_5,1
Working,Inbound,005ZRAk3rxvD6mvf15,BDR,5,3,2,2,489,13,0.0,0.0,0.6,0.4,0.4,0.010204081632653,0.0040816326530612,0.3571428571428571,1.0,1.0,366_730,3_5,0
Working,Event,005qf3JcieWVjwiYd7,BDR,1,1,0,0,1112,-537,0.0,0.0,1.0,0.0,0.0,0.0008984725965858,0.0,-0.001865671641791,1.0,1.0,730_plus,1_2,1
Nurturing,Web,005gYdlj9yv5Cc6zkp,BDR,1,0,1,0,366,-65,11.0,0.0,0.0,1.0,0.0,0.0027247956403269,0.0,-0.015625,1.0,0.08333333333333333,366_730,1_2,1
Qualified,Outbound,005w1rZfJkoRoaYcEo,BDR,5,3,2,0,782,761,0.0,0.0,0.6,0.4,0.0,0.0063856960408684,0.0,0.0065616797900262,1.0,1.0,730_plus,3_5,0
Open,Trade Show,005hJPMnhQ0WRyZFX9,BDR,4,2,2,2,910,-163,0.0,0.0,0.5,0.5,0.5,0.0043907793633369,0.0021953896816684,-0.0246913580246913,1.0,1.0,730_plus,3_5,0
